split_mode,split_label,dataset_rows,model,stage,stage_label,feature_count,macro_f1_mean,macro_f1_ci95_half_width,balanced_accuracy_mean,reachable_macro_f1_mean,reachable_macro_f1_ci95_half_width,reachable_test_rows_mean,log_loss_mean,fit_seconds_mean,inference_seconds_mean
grouped,"Known robots, new cases",2000,Logistic regression,context_20,+20 geometry/state,128,0.7928454664393403,0.01444390290326814,0.8037310931161663,0.7042757647298918,0.021782168453865717,192.91666666666666,0.4698019769275797,0.024402826427831315,0.0002163194246046866
grouped,"Known robots, new cases",2000,Logistic regression,context_22,+22 full context,130,0.8369673518674358,0.011575300219903205,0.8564451987525638,0.7490207933454692,0.016944538026796657,192.91666666666666,0.38164166738414645,0.025184954749420285,0.00020198600153283527
grouped,"Known robots, new cases",2000,MLP-24,baseline,Baseline,108,0.8122839788630928,0.015556081902644587,0.8270164172004787,0.7583332183709716,0.01979753144045496,192.91666666666666,0.45493457045999247,0.2125915209132169,0.0002398855819289262
grouped,"Known robots, new cases",2000,MLP-24,context_10,+10 difficulty/reach,118,0.8467689358559586,0.010865539167172525,0.8575117064786201,0.7742146144289324,0.021144171373585766,192.91666666666666,0.3678381621198497,0.21746598625031766,0.00024263898861439279
grouped,"Known robots, new cases",2000,MLP-24,context_20,+20 geometry/state,128,0.8484264143881933,0.012126956869709089,0.854716363803878,0.7833104634994535,0.018091592322060528,192.91666666666666,0.3620985469016637,0.20464003459104183,0.00024450317141599953
grouped,"Known robots, new cases",2000,MLP-24,context_22,+22 full context,130,0.8518156083613686,0.012845467948171293,0.8620041372398776,0.7927016265776218,0.017383430156420174,192.91666666666666,0.3643055547356185,0.21486538183914186,0.00024431941953177255
grouped,"Known robots, new cases",3000,Logistic regression,baseline,Baseline,108,0.6146249952367481,0.0121149038764707,0.6713468681880318,0.709026526198627,0.019122143339308506,290.0833333333333,0.7644413697045108,0.01551739925344009,0.00022902766553064188
grouped,"Known robots, new cases",3000,Logistic regression,context_10,+10 difficulty/reach,118,0.7948950338911372,0.00803890299700281,0.8068470532167314,0.6964748853968062,0.007416906563540661,290.0833333333333,0.47085945656816847,0.03311200350678215,0.0002327395729177321
grouped,"Known robots, new cases",3000,Logistic regression,context_20,+20 geometry/state,128,0.8005239207713316,0.009762224994542766,0.8094012673718437,0.7150069696544757,0.010208231885719956,290.0833333333333,0.4617079821771342,0.039089135413329736,0.00022765290729391077
grouped,"Known robots, new cases",3000,Logistic regression,context_22,+22 full context,130,0.8424201094947382,0.010662284310709437,0.8566195724881389,0.7561859288459276,0.01437146497522769,290.0833333333333,0.3654478310850054,0.040035343656199984,0.00025704850365097326
grouped,"Known robots, new cases",3000,MLP-24,baseline,Baseline,108,0.8236670281579811,0.011520089066483778,0.8412592149810805,0.7644882826652132,0.01567254387822661,290.0833333333333,0.4382898093603132,0.27035283350657363,0.0002855451699967186
grouped,"Known robots, new cases",3000,MLP-24,context_10,+10 difficulty/reach,118,0.8636933231772902,0.011718495299929152,0.8741776884752493,0.7971195562000438,0.014447524321866788,290.0833333333333,0.3220631008493355,0.2739103089115815,0.0003010069243221854
grouped,"Known robots, new cases",3000,MLP-24,context_20,+20 geometry/state,128,0.8692010120597677,0.009605190581181425,0.8781294170786552,0.8148381256605264,0.009041848991181312,290.0833333333333,0.32649182152090556,0.3198474547486209,0.00028533333776673925
grouped,"Known robots, new cases",3000,MLP-24,context_22,+22 full context,130,0.8585308203513797,0.006825852183742527,0.8707593454238206,0.797394975295944,0.011234835022136696,290.0833333333333,0.3368898500497039,0.2670882951739865,0.0002838264238865425
grouped,"Known robots, new cases",4000,Logistic regression,baseline,Baseline,108,0.6173436081747622,0.009583600365212408,0.6741850818648157,0.7113000676600033,0.011900413554212102,387.5,0.7597258761319097,0.019102423582808115,0.00024756234294424456
