split_mode,split_label,dataset_rows,wall_seconds,process_cpu_seconds,data_preparation_seconds,training_wall_seconds,peak_rss_megabytes,non_constant_baseline,non_constant_context_10,non_constant_context_20,non_constant_context_22
grouped,"Known robots, new cases",1000,6.622425667010248,6.543896999999999,0.40020666702184826,5.907124541001394,266.289152,36,43,53,55
grouped,"Known robots, new cases",2000,12.384158457978629,12.198037,0.3988075829693116,11.596100249968003,274.399232,39,46,56,58
grouped,"Known robots, new cases",3000,16.25650341704022,16.176047999999998,0.39470679202349856,15.57385783304926,293.978112,39,46,56,58
grouped,"Known robots, new cases",4000,19.910951416997705,19.820788,0.3868769170367159,19.254349042021204,301.79328,39,46,56,58
grouped,"Known robots, new cases",5000,27.451733541034628,27.273263,0.38229687500279397,26.777584124996793,302.20288,39,46,56,58
grouped,"Known robots, new cases",6000,32.30449583299924,32.071324999999995,0.3931575829628855,31.62576716701733,312.508416,39,46,56,58
grouped,"Known robots, new cases",7000,35.07431908301078,34.871216000000004,0.3848214169847779,34.39167604199611,344.948736,39,46,56,58
grouped,"Known robots, new cases",8000,40.86348287499277,40.641857,0.41308858402771875,40.16024383396143,326.631424,39,46,56,58
grouped,"Known robots, new cases",9000,47.04270966601325,46.27237,0.4134814999997616,46.287740124971606,321.896448,39,46,56,58
grouped,"Known robots, new cases",10000,56.1781471670256,54.41869,0.40368708403548226,55.44668220798485,333.545472,39,46,56,58
robot-held-out,Completely unseen robot,1000,5.329667290963698,5.279247,0.40354545798618346,4.519309415947646,278.396928,36,43,53,55
robot-held-out,Completely unseen robot,2000,11.374479332996998,11.304803000000001,0.3846720830188133,10.581140082969796,263.962624,39,46,56,58
robot-held-out,Completely unseen robot,3000,15.911976667004637,15.807826999999998,0.39500795799540356,15.134116584027652,302.53056,39,46,56,58
robot-held-out,Completely unseen robot,4000,17.37394345802022,17.203359,0.38613191701006144,16.580299540946726,284.786688,39,46,56,58
robot-held-out,Completely unseen robot,5000,22.83701016701525,22.708150000000003,0.4077225829823874,22.016478166973684,284.868608,39,46,56,58
robot-held-out,Completely unseen robot,6000,25.14162462495733,24.99082,0.39107316598528996,24.353869166981895,346.587136,39,46,56,58
robot-held-out,Completely unseen robot,7000,28.03865904198028,27.88638,0.4105174170108512,27.223712124978192,336.2816,39,46,56,58
robot-held-out,Completely unseen robot,8000,34.933125959010795,34.766861000000006,0.39853250002488494,34.127832625003066,319.602688,39,46,56,58
robot-held-out,Completely unseen robot,9000,41.44800762500381,40.985337,0.4100197089719586,40.57636545901187,327.172096,39,46,56,58
robot-held-out,Completely unseen robot,10000,49.09969549998641,47.56514,0.4274975409498438,48.244099500006996,304.529408,39,46,56,58
