seed,model,stage,stage_label,feature_count,train_rows,validation_rows,test_rows,held_out_robot,accuracy,balanced_accuracy,macro_f1,reachable_macro_f1,reachable_test_rows,log_loss,fit_seconds,inference_seconds
101,Logistic regression,baseline,Baseline,108,6310,1337,1353,,0.5558019216555802,0.6521337949051632,0.5908184102817765,0.690152166866148,880,0.7860345953918683,0.030916874995455146,0.0006577919702976942
101,MLP-24,baseline,Baseline,108,6310,1337,1353,,0.8507021433850702,0.8650287908853388,0.85387539183876,0.8167254815270165,880,0.3438556458172603,1.1735505409887992,0.0005223749903962016
101,Logistic regression,context_10,+10 difficulty/reach,118,6310,1337,1353,,0.7841832963784183,0.8128567242417146,0.8055029381020992,0.7118815832494136,880,0.46602734334564144,0.12618195899995044,0.00041391700506210327
101,MLP-24,context_10,+10 difficulty/reach,118,6310,1337,1353,,0.9068736141906873,0.9107060802756489,0.9041333430532011,0.8625926694217029,880,0.24966277511193283,1.081099292030558,0.0005283330101519823
101,Logistic regression,context_20,+20 geometry/state,128,6310,1337,1353,,0.7804878048780488,0.8081969819928498,0.8018539533621406,0.7159259054803692,880,0.4550429133194671,0.15260716597549617,0.000562917033676058
101,MLP-24,context_20,+20 geometry/state,128,6310,1337,1353,,0.8824833702882483,0.8957621082351738,0.8825619911921586,0.8347792352407755,880,0.29251690993366924,1.1302593750297092,0.0005497080273926258
101,Logistic regression,context_22,+22 full context,130,6310,1337,1353,,0.8152254249815225,0.8485370372191133,0.8320339438588857,0.7324316556388465,880,0.3648647960687519,0.10492266603978351,0.0004463329678401351
101,MLP-24,context_22,+22 full context,130,6310,1337,1353,,0.9009608277900961,0.909205190300689,0.8982914404166555,0.8578793146589757,880,0.26567451497395733,1.354085374972783,0.0005442500114440918
102,Logistic regression,baseline,Baseline,108,6313,1332,1355,,0.5918819188191882,0.685736313095992,0.6266362822923788,0.7049381174730428,897,0.7281350813621459,0.025026708957739174,0.00038395897718146443
102,MLP-24,baseline,Baseline,108,6313,1332,1355,,0.8391143911439114,0.8616894201717992,0.8467234690466358,0.8122472760596419,897,0.38127503557889364,0.6046811249689199,0.0005312080029398203
102,Logistic regression,context_10,+10 difficulty/reach,118,6313,1332,1355,,0.7690036900369004,0.812503749971521,0.7946472550760401,0.6950803951858475,897,0.4734296615274366,0.1395387080265209,0.0004338749567978084
102,MLP-24,context_10,+10 difficulty/reach,118,6313,1332,1355,,0.8952029520295203,0.906005485206852,0.8952524010137098,0.8505247305201379,897,0.2452507826824703,0.7136609579902142,0.0005363330128602684
102,Logistic regression,context_20,+20 geometry/state,128,6313,1332,1355,,0.7734317343173431,0.8111883126454188,0.7963586838137172,0.7082102443774104,897,0.4699631659538672,0.15704454202204943,0.0005301660276018083
102,MLP-24,context_20,+20 geometry/state,128,6313,1332,1355,,0.8966789667896679,0.9138541432945777,0.899049904151019,0.8560245436244807,897,0.24027623388101257,0.6908750830334611,0.0005132079822942615
102,Logistic regression,context_22,+22 full context,130,6313,1332,1355,,0.8287822878228782,0.8652930409156734,0.8435704305946157,0.7462959452343338,897,0.3480782646741387,0.14749820798169822,0.00041612499626353383
102,MLP-24,context_22,+22 full context,130,6313,1332,1355,,0.8915129151291513,0.899788087096436,0.8927070263834173,0.8494521832294507,897,0.2346887071473621,0.5077248339657672,0.0005103329895064235
103,Logistic regression,baseline,Baseline,108,6328,1302,1370,,0.5970802919708029,0.6807883550917606,0.6342745558937373,0.7224943222207267,909,0.7307153776997868,0.02583591698203236,0.0003642499796114862
103,MLP-24,baseline,Baseline,108,6328,1302,1370,,0.8372262773722627,0.8698133995347618,0.8511898412599193,0.7938484240879241,909,0.3677153037841818,0.5550353329745121,0.0005136659601703286
103,Logistic regression,context_10,+10 difficulty/reach,118,6328,1302,1370,,0.7875912408759124,0.823723301122682,0.8115465869418491,0.7083218740686781,909,0.4522759504142349,0.1271009580232203,0.00040137500036507845
103,MLP-24,context_10,+10 difficulty/reach,118,6328,1302,1370,,0.9058394160583941,0.9189318765170157,0.9086054334986201,0.8602826902570163,909,0.21342133579392555,1.0647779169958085,0.0006346669979393482
103,Logistic regression,context_20,+20 geometry/state,128,6328,1302,1370,,0.7905109489051095,0.8242239013136845,0.8128960594075508,0.7198935572547661,909,0.44695007998445935,0.14819141599582508,0.00048408302245661616
103,MLP-24,context_20,+20 geometry/state,128,6328,1302,1370,,0.8992700729927007,0.9145183677691419,0.9027490849505937,0.8551278910755693,909,0.23838000812285362,0.6362315830192529,0.0005044159479439259
103,Logistic regression,context_22,+22 full context,130,6328,1302,1370,,0.8233576642335766,0.8585668545420867,0.8414107921199595,0.740615395362502,909,0.3454344997492129,0.16021458397153765,0.0004515839973464608
103,MLP-24,context_22,+22 full context,130,6328,1302,1370,,0.9,0.9087882877356561,0.9028570251107458,0.8575626968454668,909,0.22934799586053803,0.9172790000448003,0.0005236670258454978
104,Logistic regression,baseline,Baseline,108,6289,1295,1416,,0.6009887005649718,0.6947600960774275,0.6365084900476624,0.7121657223783256,915,0.7565485318826445,0.026764542039018124,0.0003825420280918479
104,MLP-24,baseline,Baseline,108,6289,1295,1416,,0.8488700564971752,0.8682381137962217,0.8576958255017016,0.7988476365791657,915,0.3391013229585803,1.3431996250292286,0.0005194999976083636
104,Logistic regression,context_10,+10 difficulty/reach,118,6289,1295,1416,,0.7937853107344632,0.8259773362206442,0.8158998731926553,0.712245436946683,915,0.4426789536663397,0.15274179202970117,0.00042758299969136715
104,MLP-24,context_10,+10 difficulty/reach,118,6289,1295,1416,,0.9067796610169492,0.9088061162624005,0.9099517567561356,0.864655157403497,915,0.2295777947984336,0.9372443330357783,0.0005332920118235052
104,Logistic regression,context_20,+20 geometry/state,128,6289,1295,1416,,0.7902542372881356,0.8204528209919424,0.8115925499690505,0.717059777209164,915,0.43724995240846654,0.19150454201735556,0.0004649590118788183
104,MLP-24,context_20,+20 geometry/state,128,6289,1295,1416,,0.9187853107344632,0.9251036295478655,0.921580224136186,0.8788135578598569,915,0.2095541719530721,1.0827720829984173,0.0005494579672813416
104,Logistic regression,context_22,+22 full context,130,6289,1295,1416,,0.8403954802259888,0.8730509823754398,0.858222355162135,0.7538260209025719,915,0.3299694836921377,0.17417891696095467,0.00046075001591816545
104,MLP-24,context_22,+22 full context,130,6289,1295,1416,,0.8983050847457628,0.9075371169858067,0.9007279865639376,0.8473087327794518,915,0.24592570175955286,1.061582709022332,0.0006205830140970647
105,Logistic regression,baseline,Baseline,108,6289,1337,1374,,0.6106259097525473,0.6919515140965503,0.640705013955124,0.7401188089991599,878,0.7378133546590514,0.027357874962035567,0.00042108300840482116
105,MLP-24,baseline,Baseline,108,6289,1337,1374,,0.8537117903930131,0.8766406784422944,0.8625405199570836,0.8229464909975445,878,0.3261733369242069,0.4711326250107959,0.0005140830180607736
105,Logistic regression,context_10,+10 difficulty/reach,118,6289,1337,1374,,0.8005822416302766,0.8318981786866022,0.8200422905628049,0.7146893137255669,878,0.4258995636424281,0.13131845800671726,0.00045779201900586486
105,MLP-24,context_10,+10 difficulty/reach,118,6289,1337,1374,,0.895924308588064,0.9068981023404671,0.8986444904109692,0.841006862583073,878,0.22398674778984964,0.6308252919698134,0.0005102499853819609
105,Logistic regression,context_20,+20 geometry/state,128,6289,1337,1374,,0.7976710334788938,0.8286806471709176,0.8169191674018709,0.7288436429826638,878,0.41726633348055403,0.13072295900201425,0.00045237498125061393
105,MLP-24,context_20,+20 geometry/state,128,6289,1337,1374,,0.9061135371179039,0.9168340173947035,0.9056506894852004,0.8619716992253229,878,0.22778964766703694,0.7631246249657124,0.0005160419968888164
105,Logistic regression,context_22,+22 full context,130,6289,1337,1374,,0.8435225618631732,0.8735572870858985,0.8559085361890858,0.7584676544358802,878,0.3108577910439261,0.17020120803499594,0.0004249999765306711
105,MLP-24,context_22,+22 full context,130,6289,1337,1374,,0.9141193595342066,0.9190204180103586,0.9147173489278752,0.8741168598751736,878,0.21251057043341587,0.6311831249622628,0.0005756249884143472
106,Logistic regression,baseline,Baseline,108,6417,1328,1255,,0.5848605577689243,0.6773123181549437,0.6239098482973762,0.722822895279565,813,0.7505688001775412,0.035147833987139165,0.00038108398439362645
106,MLP-24,baseline,Baseline,108,6417,1328,1255,,0.8342629482071713,0.8601813163350664,0.8440355307818338,0.7967195454266692,813,0.3807622658992583,0.9116142499842681,0.0004877910250797868
106,Logistic regression,context_10,+10 difficulty/reach,118,6417,1328,1255,,0.7713147410358566,0.8135724946300814,0.8020867759749777,0.715226238097082,813,0.47057002599064357,0.11661804094910622,0.00039799994556233287
106,MLP-24,context_10,+10 difficulty/reach,118,6417,1328,1255,,0.8860557768924303,0.9012015607491423,0.8903932490925692,0.8333901870487237,813,0.2609901560885583,0.8667114169802517,0.0005147499614395201
106,Logistic regression,context_20,+20 geometry/state,128,6417,1328,1255,,0.7816733067729084,0.8165386831877605,0.8069082627292591,0.734021482867028,813,0.45700908315777933,0.1341534999664873,0.0004009169642813504
