profile,rows,best_epoch,parameters,raw_success,hybrid_success,baseline_success,pipeline_success,raw_median_m,raw_p95_m,refined_median_m,baseline_median_m,refined_iterations,pipeline_iterations,baseline_iterations,error_avoided_percent,iteration_savings_percent,inference_ns,training_ms,peak_heap_mib,model_path
KINEMATICS_108,100000,1,7626,0.0,0.635,1.0,1.0,1.310588273727608,2.420575590009395,9.2762116239308E-7,1.2858989637029994E-7,214.1315,257.615,116.363,99.99996512109254,-121.389101346648,38043.168,11724,333.65257263183594,./audit-artifacts/global-local-2026-09-10/training/one-micron/models/20260910-172338-benchmark-kinematics-108.rkl-micron
PHYSICS_CONTEXT_361,100000,16,23818,0.0,0.883,1.0,1.0,1.1139607292988132,2.4775120526082,2.2135579802471377E-7,1.2858989637029994E-7,103.3815,121.509,116.363,99.99997186451938,-4.422367934824644,283640.837,57964,764.6691589355469,./audit-artifacts/global-local-2026-09-10/training/one-micron/models/20260910-172350-benchmark-physics-context-361.rkl-micron
