seed,profile,description,feature_count,parameter_count,best_epoch,test_rows,accuracy,balanced_accuracy,macro_f1,log_loss,accepted_recall,uncertain_recall,rejected_recall,inference_ns_per_sample,fit_ms
2606,without_normalized_target,"Full context without reach-normalized target coordinates",127,4195,22,8000,0.895250000000,0.921093218040,0.914627523680,0.220703426966,0.915630885122,0.999231360492,0.848417408506,2265.317750000000,6967
2606,without_seed_home_offset,"Full context without normalized seed-to-home summaries",127,4195,22,8000,0.903500000000,0.929464419692,0.921543070924,0.212647773720,0.942749529190,0.998462720984,0.847181008902,2313.354125000000,7064
2606,without_revolute_fraction,"Remove the exact complement of prismatic_joint_fraction",129,4259,12,8000,0.900500000000,0.928867400713,0.919200140927,0.222524664048,0.953295668550,0.999231360492,0.834075173096,2335.536500000000,4788
2606,without_prismatic_fraction,"Remove the exact complement of revolute_joint_fraction",129,4259,22,8000,0.900375000000,0.927577540214,0.919160260984,0.214848130926,0.942749529190,0.999231360492,0.840751730959,2355.640625000000,7143
2606,without_availability_flags,"Frozen-corpus audit without the three constant availability flags",127,4195,39,8000,0.904625000000,0.932018706220,0.922744222899,0.208121984297,0.957062146893,0.999231360492,0.839762611276,2456.973875000000,9473
2606,frozen_redundancy_pruned,"Frozen-corpus constants plus one exact joint-fraction complement",126,4163,16,8000,0.901000000000,0.928505849091,0.919684116992,0.215239825634,0.948775894539,0.998462720984,0.838278931751,3007.145875000000,7090
2606,corpus_nonconstant,"Transductive audit only: features varying in this frozen corpus",106,3523,29,8000,0.903375000000,0.929210798478,0.921472173439,0.211876249683,0.939736346516,0.999231360492,0.848664688427,3060.932250000000,11571
2607,baseline_108,"Baseline kinematics only",108,3587,21,14000,0.854142857143,0.873782834010,0.864300423406,0.337701193358,0.937154877728,0.893212951432,0.790980672870,1822.925571428571,5644
2607,context_full_130,"Complete context contract",130,4291,25,14000,0.896928571429,0.909870973759,0.902681685930,0.236671799664,0.938206678938,0.933997509340,0.857408732999,2388.095214285714,7413
2607,without_initial_error,"Full context without the initial Cartesian error",128,4227,31,14000,0.875214285714,0.878778736984,0.878435698388,0.285596458355,0.938995529845,0.841220423412,0.856120257695,2454.607142857143,8596
2607,without_seed_margin,"Full context without the seed-to-limit margin",128,4227,28,14000,0.893214285714,0.903029433156,0.898430555860,0.237101294840,0.927951617144,0.918430884184,0.862705798139,2334.645785714286,7932
2607,without_seed_condition,"Full context without the seed Jacobian conditioning",128,4227,18,14000,0.882714285714,0.889300008208,0.887748479271,0.263957815051,0.917696555351,0.889788293898,0.860415175376,2434.574428571429,5751
