model,stage,stage_label,feature_count,macro_f1_mean,macro_f1_std,macro_f1_ci95_half_width,balanced_accuracy_mean,reachable_macro_f1_mean,reachable_macro_f1_ci95_half_width,reachable_test_rows_mean,log_loss_mean,fit_seconds_mean,inference_seconds_mean
Logistic regression,baseline,Baseline,108,0.24760927684803882,0.06656632455357844,0.03766344369197306,0.35274459244149753,0.24411560829230838,0.0640268488589776,489.0,1.3658875749229573,0.016684631928607512,0.0002696529118111357
Logistic regression,context_10,+10 difficulty/reach,118,0.26595864435322963,0.17183879334767063,0.09722695012456814,0.3809410166474658,0.23659713931113566,0.08008954845098361,489.0,2.2714861389419996,0.03012670491201182,0.0002880799196039637
Logistic regression,context_20,+20 geometry/state,128,0.254068825490818,0.1869090988826905,0.1057537781828335,0.33396784510527094,0.1723320539108728,0.09446292695885362,489.0,1.669308604067971,0.035512361243794054,0.0002899756655097008
Logistic regression,context_22,+22 full context,130,0.3165496392425599,0.1475958547043106,0.08351021631591049,0.43627292814295915,0.19508623620813872,0.10886586057990753,489.0,2.102247435916684,0.03330970817963438,0.00028707315505016595
MLP-24,baseline,Baseline,108,0.32566641193967694,0.11400301830230523,0.06450327983916045,0.4145855421175533,0.2349527236723364,0.09531378883927359,489.0,2.5457698204170898,0.24895480551155438,0.0003620869053217272
MLP-24,context_10,+10 difficulty/reach,118,0.46529441416569517,0.14401699365363915,0.081485285052733,0.5027769134412373,0.33428225360548597,0.05932272886024789,489.0,1.1344579469876437,0.3091325209194717,0.00036515641841106117
MLP-24,context_20,+20 geometry/state,128,0.3966774933421449,0.13702735924047788,0.07753052708895679,0.4614379357919339,0.27568320864705753,0.08347242988159767,489.0,2.0784265846465293,0.27713707300426904,0.00035355575285696733
MLP-24,context_22,+22 full context,130,0.4288240677391275,0.14876264115794588,0.08417038789954176,0.4837849824484672,0.29502687573809916,0.08351314697514378,489.0,1.6098745790971094,0.2718439236632548,0.0003893229052967702
