model,stage,stage_label,feature_count,macro_f1_mean,macro_f1_std,macro_f1_ci95_half_width,balanced_accuracy_mean,reachable_macro_f1_mean,reachable_macro_f1_ci95_half_width,reachable_test_rows_mean,log_loss_mean,fit_seconds_mean,inference_seconds_mean
Logistic regression,baseline,Baseline,108,0.6215770605256493,0.014101068168376116,0.00797843039281575,0.6795126121445701,0.7149545009644642,0.007586267870614051,685.0,0.7527361566970403,0.023796878502859425,0.00034328466669345897
Logistic regression,context_10,+10 difficulty/reach,118,0.8072006499229011,0.010316071730255599,0.005836867054633707,0.8192445156670516,0.7059701248673628,0.0065417177924040944,685.0,0.4521815300821894,0.09835501740841816,0.00036362508156647283
Logistic regression,context_20,+20 geometry/state,128,0.8098014371341424,0.011688059337087359,0.006613142120480271,0.8204990321508351,0.7203782121262812,0.00968598423925476,685.0,0.4414207459671815,0.11252847233360323,0.00038550007351053256
Logistic regression,context_22,+22 full context,130,0.849591077405715,0.011440245607030927,0.006472928303198445,0.865080914946636,0.7552780832668335,0.009523945365696982,685.0,0.3410536263308495,0.11344730550384459,0.0003982464938114087
MLP-24,baseline,Baseline,108,0.8508992441394505,0.01146071880501904,0.006484512105440662,0.8660243938358673,0.803529319432097,0.009406316132051656,685.0,0.3678774475986594,0.519788090173582,0.0004812084080185741
MLP-24,context_10,+10 difficulty/reach,118,0.8936715029684917,0.01742383418499571,0.009858462249882224,0.9034704386930245,0.8405456577712195,0.015709699388323388,685.0,0.25164679175651344,0.7104064893452838,0.00044609717345641303
MLP-24,context_20,+20 geometry/state,128,0.8971254039558074,0.010619837448134016,0.006008738689241638,0.9033787114783244,0.8502758237968515,0.009779788489648812,685.0,0.25461009701466075,0.5802123679944392,0.000493635336169973
MLP-24,context_22,+22 full context,130,0.8986500021630931,0.008068474389325104,0.004565169143413921,0.9035797629133047,0.8545626124999934,0.006051124214084777,685.0,0.2439812214088952,0.6462155104236444,0.00048499992408324033
