model,stage,stage_label,feature_count,macro_f1_mean,macro_f1_std,macro_f1_ci95_half_width,balanced_accuracy_mean,reachable_macro_f1_mean,reachable_macro_f1_ci95_half_width,reachable_test_rows_mean,log_loss_mean,fit_seconds_mean,inference_seconds_mean
Logistic regression,baseline,Baseline,108,0.2431007261727353,0.0704118117542317,0.03983923290102623,0.3480901577277988,0.23025216222344966,0.07449228662702496,815.0,1.3792768060011704,0.018051392418177176,0.0003732327507653584
Logistic regression,context_10,+10 difficulty/reach,118,0.2617124234008486,0.16956249517674674,0.09593901319006418,0.3760913639636525,0.232989059997787,0.07932534584941475,815.0,2.8135930222079164,0.04851426033807608,0.00039312833299239475
Logistic regression,context_20,+20 geometry/state,128,0.23414024727833282,0.20177298829576362,0.11416381532559926,0.32295970537510105,0.18870490658673122,0.08808823113407986,815.0,2.0027886446469343,0.058356239508915074,0.0004052705820261811
Logistic regression,context_22,+22 full context,130,0.32070566375748905,0.15362229670086042,0.08691999686669492,0.4409018938757505,0.19684369889750744,0.11249031192380203,815.0,2.1104899852310677,0.06480458341441893,0.00043606934195850044
MLP-24,baseline,Baseline,108,0.33044766529372277,0.11243887960934329,0.0636182850616376,0.40024391300513895,0.2427946835870399,0.09481857128607338,815.0,2.841138709836781,0.3588201770908199,0.00047274983080569655
MLP-24,context_10,+10 difficulty/reach,118,0.46776769205235325,0.12901709492685143,0.07299829339635955,0.49451986343249166,0.35287929703221166,0.06247606215547763,815.0,1.3033301456718682,0.4308963019187407,0.0004933125795408463
MLP-24,context_20,+20 geometry/state,128,0.4003485042323281,0.14523846227325893,0.08217639598435028,0.4491884852521069,0.2969230627073654,0.10330200878015552,815.0,2.0389297567076397,0.40344526041978196,0.0005049511673860252
MLP-24,context_22,+22 full context,130,0.4677583927734994,0.09816802671207027,0.05554378991506758,0.5123723571379694,0.337745668307813,0.08064060225900141,815.0,1.225388714049423,0.4018423820040577,0.000503531414627408
