seed,feature_count,accuracy,balanced_accuracy,macro_f1,log_loss,ece,inference_ns_per_sample,training_ms,best_epoch,test_rows
2604,108,0.863375,0.8603058326151078,0.8525557160556572,0.3022910904660249,0.031299918325617904,1689.9609375,2492,6,16000
2604,130,0.9055,0.9112867091302058,0.8953402644862031,0.20572736699194613,0.020202574577182497,2378.4166875,8811,36,16000
2604,152,0.9066875,0.9176524243373194,0.8991120141185722,0.20806082451304492,0.023803461564704725,2820.1354375,5330,13,16000
2604,169,0.9135,0.9234983167866607,0.9049182810707408,0.19711906182797426,0.021318633345887083,3329.3306875,7277,18,16000
2604,191,0.9188125,0.9244820991539665,0.9100412051413601,0.18063632912998903,0.017221008304506576,3623.591125,10675,26,16000
2604,209,0.90775,0.9265581406220208,0.9005314365566391,0.20942178566021952,0.02830334169045095,4029.03125,6319,10,16000
2604,233,0.9111875,0.9235784932423786,0.9026580504469705,0.19775069512016488,0.026746251653879886,4728.7578125,8114,13,16000
2604,383,0.918625,0.9232739936371662,0.9098619251571858,0.18379005865041362,0.023247582010924785,8371.8541875,21430,24,16000
2605,108,0.8475833333333334,0.8439960669664966,0.8455033386614064,0.31777856825082723,0.0448794577891628,1704.4965,7321,40,12000
2605,130,0.898,0.9106815367548325,0.9011549296047109,0.22489061828272527,0.01703189435601229,2345.3785,6552,20,12000
2605,152,0.9045,0.905346876224705,0.9045580104872872,0.20496511062827796,0.01546108031521242,2827.1006666666667,8186,22,12000
2605,169,0.90525,0.9196650615577532,0.9075322348463382,0.21236988555461353,0.027780942271153124,3204.1805833333333,11677,31,12000
2605,191,0.90775,0.9246264663403935,0.9105409804236889,0.20880720875103664,0.023895446921388355,3616.97575,7220,14,12000
2605,209,0.9111666666666667,0.9272484614951694,0.9135036046217636,0.2120902510208798,0.024759254386027565,4241.288166666666,10590,21,12000
2605,233,0.9121666666666667,0.9242072111655428,0.9144308071974567,0.19742262345532613,0.02162159023185569,4480.760416666667,14685,27,12000
2605,383,0.91175,0.9216702358506671,0.913839744609196,0.19582474974173525,0.025366607670982685,8508.90625,34149,35,12000
2606,108,0.850625,0.8863197003692886,0.8720407621251743,0.3407999850571846,0.008326075151562713,1691.385375,2615,5,8000
2606,130,0.89025,0.9171924354994295,0.9097573468399318,0.23532178532840334,0.012420458137989022,2347.8385,5081,13,8000
2606,152,0.907875,0.9323937707178649,0.9248761982721385,0.20181598194101324,0.02179690166562795,3000.114625,7263,18,8000
2606,169,0.9115,0.9309893511597461,0.9271931142349233,0.2027000986930769,0.019073980499058896,3444.6615,12229,34,8000
2606,191,0.91075,0.9342438688510152,0.9271234586407481,0.1968474935688931,0.016126169946044742,3816.40625,6349,10,8000
2606,209,0.91675,0.9366086979198682,0.9318260331589291,0.18315957202416314,0.01345496567338708,4044.9375,11374,22,8000
2606,233,0.907375,0.9309859982116665,0.9244685977288215,0.19541791293175284,0.020815244369208764,4528.192625,7549,10,8000
2606,383,0.918125,0.9379884440010157,0.9328593292774242,0.18489735812123928,0.019578957293182563,8599.171875,21607,22,8000
