model,stage,stage_label,feature_count,macro_f1_mean,macro_f1_std,macro_f1_ci95_half_width,balanced_accuracy_mean,reachable_macro_f1_mean,reachable_macro_f1_ci95_half_width,reachable_test_rows_mean,log_loss_mean,fit_seconds_mean,inference_seconds_mean
Logistic regression,baseline,Baseline,108,0.627272094747283,0.015031207131003997,0.008504706053663578,0.6823677362327706,0.7170462425115205,0.00940099156495951,488.6666666666667,0.7500952299555562,0.02057580200198572,0.0002752706641331315
Logistic regression,context_10,+10 difficulty/reach,118,0.8046753139225072,0.011475199839100506,0.00649270552178724,0.8181892580907766,0.7073926869396902,0.007306220703373536,488.6666666666667,0.4584803146479896,0.06368331933723918,0.00036406599974725395
Logistic regression,context_20,+20 geometry/state,128,0.8087416196640781,0.013246802378306832,0.00749508402063688,0.8203057920370332,0.7223824147808817,0.009112662698699536,488.6666666666667,0.4470866887675013,0.07161420492532973,0.00031327766191679984
Logistic regression,context_22,+22 full context,130,0.8484740278972027,0.01382395064652756,0.007821636394496052,0.8653427565056137,0.7584557675863625,0.012340695113595397,488.6666666666667,0.35160056175208193,0.07609744083796006,0.0003172640038731818
MLP-24,baseline,Baseline,108,0.8430590707001707,0.010223988322050029,0.005784765961728631,0.8596224301232063,0.7953875610016897,0.00940754497662885,488.6666666666667,0.3872414924388255,0.4367381701692163,0.0003690104155490796
MLP-24,context_10,+10 difficulty/reach,118,0.8861601079483047,0.01589276011190155,0.008992175542197056,0.8965386104892975,0.8303109600839494,0.013087767211963313,488.6666666666667,0.2677897704582037,0.5107059306610608,0.0003755240807853018
MLP-24,context_20,+20 geometry/state,128,0.8863266263443402,0.013389771597407743,0.007575976471427947,0.8962839727175251,0.8335055300825039,0.010837334518156983,488.6666666666667,0.28363525905622883,0.5526387637364678,0.00041136457002721727
MLP-24,context_22,+22 full context,130,0.8861054165103285,0.01270407451713175,0.007188006825425659,0.8964225381246474,0.8319740644027586,0.009911406916736452,488.6666666666667,0.27694500104396963,0.44902332992448163,0.0003933159896405414
