model,stage,stage_label,feature_count,macro_f1_mean,macro_f1_std,macro_f1_ci95_half_width,balanced_accuracy_mean,reachable_macro_f1_mean,reachable_macro_f1_ci95_half_width,reachable_test_rows_mean,log_loss_mean,fit_seconds_mean,inference_seconds_mean
Logistic regression,baseline,Baseline,108,0.6179926670283348,0.028528802019529412,0.01614168929512019,0.6757013506324602,0.7116533783936685,0.019955172489826558,192.91666666666666,0.7614190506494523,0.011882944658282213,0.00027196867449674755
Logistic regression,context_10,+10 difficulty/reach,118,0.7833069983843511,0.019190615163069004,0.010858112693706155,0.7959503134263507,0.6829638639569232,0.015257871010587813,192.91666666666666,0.4805435392515733,0.02129720483693139,0.0002216459106421098
Logistic regression,context_20,+20 geometry/state,128,0.7928454664393403,0.025528136416379625,0.01444390290326814,0.8037310931161663,0.7042757647298918,0.021782168453865717,192.91666666666666,0.4698019769275797,0.024402826427831315,0.0002163194246046866
Logistic regression,context_22,+22 full context,130,0.8369673518674358,0.020458171524219946,0.011575300219903205,0.8564451987525638,0.7490207933454692,0.016944538026796657,192.91666666666666,0.38164166738414645,0.025184954749420285,0.00020198600153283527
MLP-24,baseline,Baseline,108,0.8122839788630928,0.02749380022661546,0.015556081902644587,0.8270164172004787,0.7583332183709716,0.01979753144045496,192.91666666666666,0.45493457045999247,0.2125915209132169,0.0002398855819289262
MLP-24,context_10,+10 difficulty/reach,118,0.8467689358559586,0.01920374070323718,0.010865539167172525,0.8575117064786201,0.7742146144289324,0.021144171373585766,192.91666666666666,0.3678381621198497,0.21746598625031766,0.00024263898861439279
MLP-24,context_20,+20 geometry/state,128,0.8484264143881933,0.02143316881584956,0.012126956869709089,0.854716363803878,0.7833104634994535,0.018091592322060528,192.91666666666666,0.3620985469016637,0.20464003459104183,0.00024450317141599953
MLP-24,context_22,+22 full context,130,0.8518156083613686,0.022703064421663484,0.012845467948171293,0.8620041372398776,0.7927016265776218,0.017383430156420174,192.91666666666666,0.3643055547356185,0.21486538183914186,0.00024431941953177255
