seed,model,stage,stage_label,feature_count,train_rows,validation_rows,test_rows,held_out_robot,accuracy,balanced_accuracy,macro_f1,reachable_macro_f1,reachable_test_rows,log_loss,fit_seconds,inference_seconds
101,Logistic regression,baseline,Baseline,108,1372,323,305,,0.5770491803278689,0.644927536231884,0.6073380679201946,0.6449297443710851,202,0.7977943723839969,0.026484959002118558,0.0010111659648828208
101,MLP-24,baseline,Baseline,108,1372,323,305,,0.8131147540983606,0.8243616287094548,0.8163475203179997,0.7739233517803995,202,0.45102279197009126,0.1315647920127958,0.0002221670001745224
101,Logistic regression,context_10,+10 difficulty/reach,118,1372,323,305,,0.7573770491803279,0.7777777777777778,0.7710516536603493,0.6493101669093829,202,0.482927600794974,0.021956584008876234,0.0002133749658241868
101,MLP-24,context_10,+10 difficulty/reach,118,1372,323,305,,0.8229508196721311,0.8473429951690821,0.823284838111539,0.7158877007489286,202,0.3967392767718318,0.20183037495007738,0.00025666598230600357
101,Logistic regression,context_20,+20 geometry/state,128,1372,323,305,,0.760655737704918,0.779848171152519,0.7687978293951835,0.6590450154911609,202,0.46153780647004256,0.022913083026651293,0.00021525000920519233
101,MLP-24,context_20,+20 geometry/state,128,1372,323,305,,0.839344262295082,0.8368184955141477,0.8362918189416613,0.757979242979243,202,0.40449776197416265,0.24203112500254065,0.00024120800662785769
101,Logistic regression,context_22,+22 full context,130,1372,323,305,,0.8229508196721311,0.8454451345755692,0.8319914178762193,0.7280503151965728,202,0.37607596097554247,0.026100083021447062,0.0001784160267561674
101,MLP-24,context_22,+22 full context,130,1372,323,305,,0.8688524590163934,0.8681159420289856,0.8637017871670603,0.810798664612224,202,0.3797251579819042,0.32742295804200694,0.00022991601144894958
102,Logistic regression,baseline,Baseline,108,1414,270,316,,0.5917721518987342,0.6628720895962275,0.6185185185185186,0.7023550724637682,209,0.7433661827413115,0.01271937502315268,0.00023600005079060793
102,MLP-24,baseline,Baseline,108,1414,270,316,,0.7626582278481012,0.7766863763631005,0.7664954673161474,0.6934668416844777,209,0.4710323066707345,0.24802816699957475,0.00022974994499236345
102,Logistic regression,context_10,+10 difficulty/reach,118,1414,270,316,,0.7310126582278481,0.7740338564692012,0.7560736180177337,0.6450714171909382,209,0.561948642553741,0.020497457997407764,0.000224083021748811
102,MLP-24,context_10,+10 difficulty/reach,118,1414,270,316,,0.8322784810126582,0.851352969348659,0.8397739603610987,0.7759710423473637,209,0.3671458964196904,0.2171510420157574,0.00025520799681544304
102,Logistic regression,context_20,+20 geometry/state,128,1414,270,316,,0.7246835443037974,0.763129052460949,0.7488103287905195,0.65707400604102,209,0.5719787407198524,0.024806208035442978,0.00021225004456937313
102,MLP-24,context_20,+20 geometry/state,128,1414,270,316,,0.8006329113924051,0.815244621279104,0.8079281176075138,0.7295292288436849,209,0.4240400708771164,0.14856245799455792,0.0002550830249674618
102,Logistic regression,context_22,+22 full context,130,1414,270,316,,0.7911392405063291,0.8245790966696139,0.8045517856147976,0.7082960966270387,209,0.43736915501703616,0.023324291978497058,0.0001865830272436142
102,MLP-24,context_22,+22 full context,130,1414,270,316,,0.7943037974683544,0.8184865900383143,0.808705860511846,0.7326428123038292,209,0.3886576911670397,0.11938291700789705,0.00024091702653095126
103,Logistic regression,baseline,Baseline,108,1384,305,311,,0.6270096463022508,0.6983120597056566,0.6595802026836509,0.7289649047798008,213,0.7495747130110828,0.010915041959378868,0.00022095796884968877
103,MLP-24,baseline,Baseline,108,1384,305,311,,0.797427652733119,0.8057194671130641,0.8105895366106771,0.7446245637735,213,0.41933890843078847,0.2109444999950938,0.00022487499518319964
103,Logistic regression,context_10,+10 difficulty/reach,118,1384,305,311,,0.7684887459807074,0.8006695961498221,0.794793235214524,0.6906624291325633,213,0.49549262192668797,0.0212383329635486,0.0002157079870812595
103,MLP-24,context_10,+10 difficulty/reach,118,1384,305,311,,0.8553054662379421,0.8608635000348747,0.8609030123375425,0.7968613086260147,213,0.3288454548296217,0.19086741702631116,0.00024112500250339508
103,Logistic regression,context_20,+20 geometry/state,128,1384,305,311,,0.7717041800643086,0.7974890144381669,0.7910484238745651,0.6966135382028055,213,0.5098592611110765,0.02230070804944262,0.00023329199757426977
103,MLP-24,context_20,+20 geometry/state,128,1384,305,311,,0.8327974276527331,0.8579828415986608,0.8472264612769829,0.7524565381708239,213,0.3917263278342986,0.12015595799311996,0.00025291601195931435
103,Logistic regression,context_22,+22 full context,130,1384,305,311,,0.8038585209003215,0.8414103368905629,0.8259470895608843,0.715779768877114,213,0.42743206597726835,0.02459729101974517,0.00014995795208960772
103,MLP-24,context_22,+22 full context,130,1384,305,311,,0.8585209003215434,0.8648671270140197,0.8631987577639751,0.8115808647301314,213,0.30958794920494653,0.16238095803419128,0.00022941699717193842
104,Logistic regression,baseline,Baseline,108,1423,262,315,,0.6,0.7092953454373819,0.6345568156608333,0.7194226701505538,208,0.7866476953797421,0.00789487495785579,0.00014433299656957388
104,MLP-24,baseline,Baseline,108,1423,262,315,,0.7936507936507936,0.8261535829852745,0.8037533383201603,0.7771055696864525,208,0.4699449033220394,0.1327823749743402,0.0002436249633319676
104,Logistic regression,context_10,+10 difficulty/reach,118,1423,262,315,,0.746031746031746,0.7952686189632207,0.7675367749994616,0.6911712159151268,208,0.49239852807493983,0.023334792000241578,0.00020329200197011232
104,MLP-24,context_10,+10 difficulty/reach,118,1423,262,315,,0.8095238095238095,0.8426354894758766,0.8271411658128925,0.7472527472527473,208,0.42807011363101305,0.2076600840082392,0.0002381670055910945
