model,stage,stage_label,feature_count,macro_f1_mean,macro_f1_std,macro_f1_ci95_half_width,balanced_accuracy_mean,reachable_macro_f1_mean,reachable_macro_f1_ci95_half_width,reachable_test_rows_mean,log_loss_mean,fit_seconds_mean,inference_seconds_mean
Logistic regression,baseline,Baseline,108,0.2370448406955177,0.07589117753481435,0.042939475943265894,0.34369164686859827,0.22305525901742485,0.08056963686400585,1630.0,1.4477046915765819,0.03810337158696105,0.0006941459772254651
Logistic regression,context_10,+10 difficulty/reach,118,0.2669715767566929,0.17326380344871864,0.0980332254906974,0.3812174736482831,0.24062055743855815,0.08147715142010252,1630.0,3.1307998424111996,0.11809246192084781,0.0007023090923515459
Logistic regression,context_20,+20 geometry/state,128,0.22488782171644903,0.21789021122035052,0.12328299265981671,0.31763116062571706,0.1844312257612666,0.0957207407889144,1630.0,2.33498727516136,0.15631115966728734,0.0007069268322084099
Logistic regression,context_22,+22 full context,130,0.3319748978016106,0.16529321572482963,0.0935234409420703,0.4544902983329209,0.20851417296363198,0.12207813501090364,1630.0,2.39731097035375,0.15036764591544247,0.0008497361656433592
MLP-24,baseline,Baseline,108,0.32728568246095807,0.11358537264101444,0.06426697456088777,0.39882455829025026,0.2402740370222993,0.09629539638997131,1630.0,3.1597364395278067,0.7610947604068011,0.0008489968361876284
MLP-24,context_10,+10 difficulty/reach,118,0.5000784466431831,0.13007964911429293,0.07359949002358451,0.519057159827866,0.3698158136278315,0.05130168922052686,1630.0,1.2104206015011683,0.9483830415798972,0.0009129723281754801
MLP-24,context_20,+20 geometry/state,128,0.4134256122839182,0.15276044762011928,0.08643235984390353,0.4830324581202136,0.3212434538757239,0.1076262334056893,1630.0,2.2974736505623756,0.9835230381674288,0.0009066007623914629
MLP-24,context_22,+22 full context,130,0.4353491210342506,0.13320958835578298,0.07537041986193353,0.5119032581669909,0.3167231110210562,0.09791992186240213,1630.0,1.6922002643870044,0.7822388890005337,0.0009076596761588007
