seed,model,stage,stage_label,feature_count,train_rows,validation_rows,test_rows,held_out_robot,accuracy,balanced_accuracy,macro_f1,reachable_macro_f1,reachable_test_rows,log_loss,fit_seconds,inference_seconds
101,Logistic regression,baseline,Baseline,108,5606,1199,1195,,0.5606694560669456,0.6582526777648728,0.5934205447384379,0.6913229223020841,770,0.7925409116923621,0.03498787502758205,0.0004899170016869903
101,MLP-24,baseline,Baseline,108,5606,1199,1195,,0.8443514644351464,0.8640409515206263,0.8533457416814363,0.8120753693229004,770,0.3762945697227495,0.3639887499739416,0.00047270802315324545
101,Logistic regression,context_10,+10 difficulty/reach,118,5606,1199,1195,,0.7807531380753138,0.8101432442895858,0.8012946230809356,0.7028726719679949,770,0.4657885625333249,0.12444462499115616,0.0005021250108256936
101,MLP-24,context_10,+10 difficulty/reach,118,5606,1199,1195,,0.900418410041841,0.9050526949713942,0.8974517708052149,0.8505538352379999,770,0.2472739356162006,1.138620332989376,0.0005242920015007257
101,Logistic regression,context_20,+20 geometry/state,128,5606,1199,1195,,0.7774058577405858,0.80534262485482,0.7977730522449459,0.7032236563908155,770,0.45288939159437885,0.1293828340130858,0.0004212500061839819
101,MLP-24,context_20,+20 geometry/state,128,5606,1199,1195,,0.902092050209205,0.9015115928937067,0.8984703921548435,0.8545084581900503,770,0.25327613575731617,0.9043758750194684,0.0005055420333519578
101,Logistic regression,context_22,+22 full context,130,5606,1199,1195,,0.8184100418410042,0.8481920247773905,0.8320222796727119,0.7336121492509978,770,0.3640892972576581,0.13161208300152794,0.00041129201417788863
101,MLP-24,context_22,+22 full context,130,5606,1199,1195,,0.8878661087866109,0.8999199896760873,0.8854595778206523,0.8403308756945157,770,0.2729490052957237,0.4492847920046188,0.00048049999168142676
102,Logistic regression,baseline,Baseline,108,5610,1181,1209,,0.5806451612903226,0.6750414943713962,0.6151305576618152,0.6930802251923955,797,0.72945792529225,0.02578374999575317,0.0003852079971693456
102,MLP-24,baseline,Baseline,108,5610,1181,1209,,0.8287841191066998,0.8606515053828927,0.8389680645207696,0.7978667801446845,797,0.3818737259469566,0.5914052079897374,0.0005136660183779895
102,Logistic regression,context_10,+10 difficulty/reach,118,5610,1181,1209,,0.760132340777502,0.8031342513547362,0.7856858275032458,0.6800889102402158,797,0.48563925342693065,0.11695854202844203,0.00036208401434123516
102,MLP-24,context_10,+10 difficulty/reach,118,5610,1181,1209,,0.8660049627791563,0.8828797478766294,0.867262755373125,0.8043938480233237,797,0.2897494652166541,0.5030441669514403,0.0005804579704999924
102,Logistic regression,context_20,+20 geometry/state,128,5610,1181,1209,,0.7576509511993383,0.7969918243312774,0.7817910925096889,0.6845591900023997,797,0.4824041871015684,0.1247376250103116,0.000383291975595057
102,MLP-24,context_20,+20 geometry/state,128,5610,1181,1209,,0.8875103391232424,0.9018961755175159,0.8889374620522162,0.8377169197396963,797,0.27556429827622486,0.9124871250241995,0.000504207971971482
102,Logistic regression,context_22,+22 full context,130,5610,1181,1209,,0.826302729528536,0.8622758586412247,0.8397733216891204,0.7404096001399391,797,0.3567124001760871,0.1388238340150565,0.00039412500336766243
102,MLP-24,context_22,+22 full context,130,5610,1181,1209,,0.8891645988420182,0.8955458391173442,0.8858437925938795,0.8418529290695694,797,0.2543439107454152,0.5146549579803832,0.00048262503696605563
103,Logistic regression,baseline,Baseline,108,5615,1171,1214,,0.6037891268533773,0.6900163724481589,0.639279327581362,0.7316508672733871,806,0.73116278047627,0.02566541702253744,0.0003504580236040056
