trialIndex,cohort,scenario,seed,linkCount,jointMode,targetX,targetY,targetZ,branch,reportedConverged,validatedSuccess,status,detailCode,iterations,stateFinite,jointLimitsValid,independentResidualMeters,nonFiniteEncountered,unsafeSuccess,exceptionContained,contaminatingTrainingCandidate,backtrackingRetryCount,seedConditionNumber,durationNanos,jointValues
448,VALID_CAMPAIGN,UNIFORM,3810710574750539398,5,AUTO,0.214342831366,-1.43948786047,-0.405753959538,UNGUARDED_REFERENCE,true,false,CONVERGED_UNCERTIFIED,NO_GUARDS_OR_FINAL_CERTIFICATION,12,true,false,2.99180291238e-07,false,true,false,true,0,NaN,9792,4.76936169890|-51.7051267505|-8.61535506196|-1.09196660196|0.129169876229
449,VALID_CAMPAIGN,NEAR_JOINT_LIMIT,-3333605302236763595,5,AUTO,-0.672420431917,0.0785408219174,-0.154475026173,GUARDED_PRODUCTION,true,true,SUCCESS,NONE,785,true,true,9.78486151730e-07,false,false,false,false,0,25.1076195482,2064917,-2.80786691861|1.20992885929|-2.67428074637|0.176993283768|0.0200010032723
449,VALID_CAMPAIGN,NEAR_JOINT_LIMIT,-3333605302236763595,5,AUTO,-0.672420431917,0.0785408219174,-0.154475026173,UNGUARDED_REFERENCE,true,false,CONVERGED_UNCERTIFIED,NO_GUARDS_OR_FINAL_CERTIFICATION,13,true,false,6.21485985150e-08,false,true,false,true,0,NaN,10500,3.04486598005|-47.5041942363|-8.99809235609|-0.00660652173710|0.0461098518710
450,VALID_CAMPAIGN,NEAR_SINGULARITY,3657430605405500041,5,AUTO,1.46555998986,-0.377499950837,0.457500040767,GUARDED_PRODUCTION,false,false,NO_CONVERGENCE,STAGNATION_WINDOW_EXCEEDED,523,true,true,0.760365542197,false,false,false,false,0,4.80412919925,1273250,-0.0628141688562|1.89175053478|-2.67428074637|0.575000000000|0.0200000000000
450,VALID_CAMPAIGN,NEAR_SINGULARITY,3657430605405500041,5,AUTO,1.46555998986,-0.377499950837,0.457500040767,UNGUARDED_REFERENCE,true,false,CONVERGED_UNCERTIFIED,NO_GUARDS_OR_FINAL_CERTIFICATION,16,true,false,2.65896291275e-07,false,true,false,true,0,NaN,13708,6.07966509008|-48.4477540761|-9.32150247128|0.935285926608|-0.367337143248
451,VALID_CAMPAIGN,MICRO_MOTION,-3759417491374150542,5,AUTO,1.46555988846,-0.377499459207,0.457500448438,GUARDED_PRODUCTION,false,false,NO_CONVERGENCE,STAGNATION_WINDOW_EXCEEDED,7,true,true,0.760365682891,false,false,false,false,0,15.5247548222,21458,-0.0628140599845|1.89175056738|-2.67428074637|0.575000000000|0.0200000000000
451,VALID_CAMPAIGN,MICRO_MOTION,-3759417491374150542,5,AUTO,1.46555988846,-0.377499459207,0.457500448438,UNGUARDED_REFERENCE,true,false,CONVERGED_UNCERTIFIED,NO_GUARDS_OR_FINAL_CERTIFICATION,1,true,false,6.40245682359e-07,false,true,false,true,0,NaN,709,6.07966509008|-48.4477540761|-9.32150247128|0.935285926608|-0.367337143248
452,VALID_CAMPAIGN,UNIFORM,-8795834214247560713,5,AUTO,0.398014159463,-1.12217505105,-0.446119421252,GUARDED_PRODUCTION,false,false,NO_CONVERGENCE,STAGNATION_WINDOW_EXCEEDED,203,true,true,0.0822358568060,false,false,false,false,0,15.5247548898,508417,-1.21888991844|1.41158876239|-1.99969282590|0.575000000000|0.0200000000000
452,VALID_CAMPAIGN,UNIFORM,-8795834214247560713,5,AUTO,0.398014159463,-1.12217505105,-0.446119421252,UNGUARDED_REFERENCE,true,false,CONVERGED_UNCERTIFIED,NO_GUARDS_OR_FINAL_CERTIFICATION,15,true,false,2.35225458260e-07,false,true,false,true,0,NaN,12209,5.07437250423|-45.4470296849|-8.24995544777|-0.817514351927|-0.00355539534020
453,VALID_CAMPAIGN,NEAR_JOINT_LIMIT,429531544517122564,5,AUTO,-1.06956569753,-0.309563874850,0.438763718590,GUARDED_PRODUCTION,false,false,NO_CONVERGENCE,STAGNATION_WINDOW_EXCEEDED,399,true,true,0.668310899683,false,false,false,false,0,16.4457283808,969125,-2.15708214349|1.20153190971|-2.67428074637|0.556134876125|0.0200000000000
453,VALID_CAMPAIGN,NEAR_JOINT_LIMIT,429531544517122564,5,AUTO,-1.06956569753,-0.309563874850,0.438763718590,UNGUARDED_REFERENCE,true,false,CONVERGED_UNCERTIFIED,NO_GUARDS_OR_FINAL_CERTIFICATION,14,true,false,6.46401419823e-08,false,true,false,true,0,NaN,10791,12.7735734527|-47.8915419503|-12.6984257664|-1.22050283505|0.368671516225
454,VALID_CAMPAIGN,NEAR_SINGULARITY,-7200868915135472729,5,AUTO,1.46555998986,-0.377499950837,0.457500040767,GUARDED_PRODUCTION,false,false,NO_CONVERGENCE,STAGNATION_WINDOW_EXCEEDED,77,true,true,0.725332859569,false,false,false,false,0,7.84880124475,186917,-0.107474040295|1.76406728960|-2.67428074637|0.575000000000|0.0200000000000
454,VALID_CAMPAIGN,NEAR_SINGULARITY,-7200868915135472729,5,AUTO,1.46555998986,-0.377499950837,0.457500040767,UNGUARDED_REFERENCE,true,false,CONVERGED_UNCERTIFIED,NO_GUARDS_OR_FINAL_CERTIFICATION,8,true,false,6.91366759875e-10,false,true,false,true,0,NaN,6125,20.8499696213|-51.9273074323|-11.4223508750|1.20705538245|-0.729289276482
455,VALID_CAMPAIGN,MICRO_MOTION,-8820315128240897653,5,AUTO,1.46555988846,-0.377499459207,0.457500448438,GUARDED_PRODUCTION,false,false,NO_CONVERGENCE,STAGNATION_WINDOW_EXCEEDED,7,true,true,0.730986629145,false,false,false,false,0,14.6917106640,18459,-0.105159305235|1.81362553583|-2.67428074637|0.575000000000|0.0200000000000
455,VALID_CAMPAIGN,MICRO_MOTION,-8820315128240897653,5,AUTO,1.46555988846,-0.377499459207,0.457500448438,UNGUARDED_REFERENCE,true,false,CONVERGED_UNCERTIFIED,NO_GUARDS_OR_FINAL_CERTIFICATION,1,true,false,6.46516735833e-07,false,true,false,true,0,NaN,541,20.8499696213|-51.9273074323|-11.4223508750|1.20705538245|-0.729289276482
456,VALID_CAMPAIGN,UNIFORM,5635049596215162137,5,AUTO,0.448816676815,-0.786347548165,0.808833106421,GUARDED_PRODUCTION,false,false,NO_CONVERGENCE,STAGNATION_WINDOW_EXCEEDED,494,true,true,1.07090680270,false,false,false,false,0,15.1392123582,1141792,0.166926300674|0.765387446606|-2.67428074637|0.440021880206|0.0200000000000
456,VALID_CAMPAIGN,UNIFORM,5635049596215162137,5,AUTO,0.448816676815,-0.786347548165,0.808833106421,UNGUARDED_REFERENCE,true,false,CONVERGED_UNCERTIFIED,NO_GUARDS_OR_FINAL_CERTIFICATION,7,true,false,1.85169898430e-07,false,true,false,true,0,NaN,5791,21.3720101130|-52.8375180220|-11.0149638067|0.923668573199|-0.489111478170
457,VALID_CAMPAIGN,NEAR_JOINT_LIMIT,2647235474480419120,5,AUTO,-0.162858043079,-0.635941915869,0.438763718590,GUARDED_PRODUCTION,false,false,NO_CONVERGENCE,STAGNATION_WINDOW_EXCEEDED,261,true,true,0.668310875026,false,false,false,false,0,4.56752161458,606291,-0.410175903028|0.314451875348|-2.67428074637|0.430636428108|0.0200000000000
457,VALID_CAMPAIGN,NEAR_JOINT_LIMIT,2647235474480419120,5,AUTO,-0.162858043079,-0.635941915869,0.438763718590,UNGUARDED_REFERENCE,true,false,CONVERGED_UNCERTIFIED,NO_GUARDS_OR_FINAL_CERTIFICATION,8,true,false,1.60265362933e-08,false,true,false,true,0,NaN,6125,21.2006729026|-53.9118545125|-12.1649445578|0.0340226888173|0.0233464379792
458,VALID_CAMPAIGN,NEAR_SINGULARITY,-5528458633421809574,5,AUTO,1.46555998986,-0.377499950837,0.457500040767,GUARDED_PRODUCTION,false,false,NO_CONVERGENCE,STAGNATION_WINDOW_EXCEEDED,66,true,true,0.746768013675,false,false,false,false,0,3.20998281196,157584,-0.0709541412593|1.84719107281|-2.67428074637|0.575000000000|0.0200000000000
458,VALID_CAMPAIGN,NEAR_SINGULARITY,-5528458633421809574,5,AUTO,1.46555998986,-0.377499950837,0.457500040767,UNGUARDED_REFERENCE,true,false,CONVERGED_UNCERTIFIED,NO_GUARDS_OR_FINAL_CERTIFICATION,14,true,false,2.62619061443e-09,false,true,false,true,0,NaN,11208,18.2431843349|-49.4014493385|-12.6044680565|0.319293044758|0.322813091521
459,VALID_CAMPAIGN,MICRO_MOTION,-5832073387911091,5,AUTO,1.46555988846,-0.377499459207,0.457500448438,GUARDED_PRODUCTION,false,false,NO_CONVERGENCE,STAGNATION_WINDOW_EXCEEDED,7,true,true,0.750269214571,false,false,false,false,0,15.3580662300,16750,-0.0711437327631|1.86370155629|-2.67428074637|0.575000000000|0.0200000000000
459,VALID_CAMPAIGN,MICRO_MOTION,-5832073387911091,5,AUTO,1.46555988846,-0.377499459207,0.457500448438,UNGUARDED_REFERENCE,true,false,CONVERGED_UNCERTIFIED,NO_GUARDS_OR_FINAL_CERTIFICATION,1,true,false,6.46475746855e-07,false,true,false,true,0,NaN,583,18.2431843349|-49.4014493385|-12.6044680565|0.319293044758|0.322813091521
460,VALID_CAMPAIGN,UNIFORM,-2629007844780598108,5,AUTO,1.09090106911,-0.0460496912810,0.552604268729,GUARDED_PRODUCTION,false,false,NO_CONVERGENCE,STAGNATION_WINDOW_EXCEEDED,11,true,true,0.712267924841,false,false,false,false,0,15.4370622800,28292,0.0392253902421|1.89220237146|-2.67428074637|0.551799789616|0.0200000000000
