trialIndex,cohort,scenario,seed,linkCount,jointMode,targetX,targetY,targetZ,branch,reportedConverged,validatedSuccess,status,detailCode,iterations,stateFinite,jointLimitsValid,independentResidualMeters,nonFiniteEncountered,unsafeSuccess,exceptionContained,contaminatingTrainingCandidate,backtrackingRetryCount,seedConditionNumber,durationNanos,jointValues
0,VALID_CAMPAIGN,UNIFORM,1530015285223878408,3,AUTO,1.06729498920,0.340892783092,0.374833115292,GUARDED_PRODUCTION,true,true,SUCCESS,NONE,27,true,true,9.20703479101e-07,false,false,false,false,0,58.1726278853,256458,0.344446850271|0.0650228280186|0.775729963044
0,VALID_CAMPAIGN,UNIFORM,1530015285223878408,3,AUTO,1.06729498920,0.340892783092,0.374833115292,UNGUARDED_REFERENCE,true,true,CONVERGED_UNCERTIFIED,NO_GUARDS_OR_FINAL_CERTIFICATION,11,true,true,7.86027865746e-07,false,false,false,false,0,NaN,48042,0.273869987412|0.191527219011|0.775728828530
1,VALID_CAMPAIGN,NEAR_JOINT_LIMIT,8034925923075501481,3,AUTO,-0.459095473190,-0.145846704381,0.298209743404,GUARDED_PRODUCTION,true,true,SUCCESS_WITH_WARNING,NEAR_SINGULARITY_WARNING,167,true,true,2.25396261758e-09,false,false,false,false,0,139.479024531,607167,-2.52639356399|-1.25496463516|2.67428069082
1,VALID_CAMPAIGN,NEAR_JOINT_LIMIT,8034925923075501481,3,AUTO,-0.459095473190,-0.145846704381,0.298209743404,UNGUARDED_REFERENCE,true,false,CONVERGED_UNCERTIFIED,NO_GUARDS_OR_FINAL_CERTIFICATION,9,true,false,1.02263067153e-07,false,true,false,true,0,NaN,14084,-57.8443157645|79.4447044614|0.467311879390
2,VALID_CAMPAIGN,NEAR_SINGULARITY,5770985814328292033,3,AUTO,1.20360000122,-0.0799999580359,0.160000016409,GUARDED_PRODUCTION,true,true,SUCCESS_WITH_WARNING,NEAR_SINGULARITY_WARNING,171,true,true,5.50242902001e-09,false,false,false,false,0,4.59043015847,734166,-0.132739375402|0.225034429819|5.34857017675e-08
2,VALID_CAMPAIGN,NEAR_SINGULARITY,5770985814328292033,3,AUTO,1.20360000122,-0.0799999580359,0.160000016409,UNGUARDED_REFERENCE,true,false,CONVERGED_UNCERTIFIED,NO_GUARDS_OR_FINAL_CERTIFICATION,16,true,false,2.11158699368e-08,false,true,false,true,0,NaN,7167,-75.5309633419|88.1896292053|5.34855773040e-08
3,VALID_CAMPAIGN,MICRO_MOTION,1216412372944189580,3,AUTO,1.20360001345,-0.0799995383945,0.160000180503,GUARDED_PRODUCTION,true,true,SUCCESS,NONE,1,true,true,4.50617049792e-07,false,false,false,false,0,NaN,22709,-0.132739375402|0.225034429819|5.34857017675e-08
3,VALID_CAMPAIGN,MICRO_MOTION,1216412372944189580,3,AUTO,1.20360001345,-0.0799995383945,0.160000180503,UNGUARDED_REFERENCE,true,false,CONVERGED_UNCERTIFIED,NO_GUARDS_OR_FINAL_CERTIFICATION,1,true,false,4.50659637184e-07,false,true,false,true,0,NaN,542,-75.5309633419|88.1896292053|5.34855773040e-08
4,VALID_CAMPAIGN,UNIFORM,8604658499454183632,3,AUTO,-0.207550732025,0.891246397404,-0.146586872657,GUARDED_PRODUCTION,false,false,MAX_ITERATIONS_REACHED,NEAR_SINGULARITY_WARNING,800,true,true,2.11376672708e-06,false,false,false,false,0,58.1725167829,1626584,1.75925705413|0.279375573673|-1.53333581095
4,VALID_CAMPAIGN,UNIFORM,8604658499454183632,3,AUTO,-0.207550732025,0.891246397404,-0.146586872657,UNGUARDED_REFERENCE,true,false,CONVERGED_UNCERTIFIED,NO_GUARDS_OR_FINAL_CERTIFICATION,131,true,false,9.75331754036e-07,false,true,false,true,0,NaN,56417,-142.753312262|195.056627455|-1.53343494804
5,VALID_CAMPAIGN,NEAR_JOINT_LIMIT,-3319411307599553724,3,AUTO,-0.348352552625,0.0303650801085,0.0217902565965,GUARDED_PRODUCTION,true,true,SUCCESS_WITH_WARNING,NEAR_SINGULARITY_WARNING,83,true,true,6.49527513500e-07,false,false,false,false,0,1767.74646175,243625,3.14159265359|-2.37713425334|-2.67428061812
5,VALID_CAMPAIGN,NEAR_JOINT_LIMIT,-3319411307599553724,3,AUTO,-0.348352552625,0.0303650801085,0.0217902565965,UNGUARDED_REFERENCE,true,false,CONVERGED_UNCERTIFIED,NO_GUARDS_OR_FINAL_CERTIFICATION,10,true,false,2.43574124386e-08,false,true,false,true,0,NaN,5000,-147.654854400|211.251162647|-2.67428066407
6,VALID_CAMPAIGN,NEAR_SINGULARITY,-7157413986731722862,3,AUTO,1.20360000122,-0.0799999580359,0.160000016409,GUARDED_PRODUCTION,true,true,SUCCESS,NONE,108,true,true,1.28827830286e-08,false,false,false,false,0,13.0505704916,231792,2.94121882445e-07|-4.39488350535e-07|5.34856130306e-08
6,VALID_CAMPAIGN,NEAR_SINGULARITY,-7157413986731722862,3,AUTO,1.20360000122,-0.0799999580359,0.160000016409,UNGUARDED_REFERENCE,false,false,MAX_ITERATIONS_UNCERTIFIED,NO_GUARDS_OR_FINAL_CERTIFICATION,800,true,false,1.05749457761,false,false,false,true,0,NaN,384750,-256.374610141|49.5174913892|-3.14159268049
7,VALID_CAMPAIGN,MICRO_MOTION,1250053817073929636,3,AUTO,1.20360001345,-0.0799995383945,0.160000180503,GUARDED_PRODUCTION,true,true,SUCCESS,NONE,1,true,true,4.50460197729e-07,false,false,false,false,0,NaN,6792,2.94121882445e-07|-4.39488350535e-07|5.34856130306e-08
7,VALID_CAMPAIGN,MICRO_MOTION,1250053817073929636,3,AUTO,1.20360001345,-0.0799995383945,0.160000180503,UNGUARDED_REFERENCE,false,false,MAX_ITERATIONS_UNCERTIFIED,NO_GUARDS_OR_FINAL_CERTIFICATION,800,true,false,1.70254342316,false,false,false,true,0,NaN,369375,148.107309223|-365.302074297|-3.14159323964
8,VALID_CAMPAIGN,UNIFORM,8732741445543322982,3,AUTO,0.206372538299,1.12668958787,0.162532594982,GUARDED_PRODUCTION,true,true,SUCCESS,NONE,36,true,true,8.54313572970e-08,false,false,false,false,0,58.1724002464,97209,1.77989269567|-0.545543571329|0.00825496630241
8,VALID_CAMPAIGN,UNIFORM,8732741445543322982,3,AUTO,0.206372538299,1.12668958787,0.162532594982,UNGUARDED_REFERENCE,false,false,MAX_ITERATIONS_UNCERTIFIED,NO_GUARDS_OR_FINAL_CERTIFICATION,800,true,false,1.15586005521,false,false,false,true,0,NaN,325959,163.630213563|-264.749649391|-3.14985682150
9,VALID_CAMPAIGN,NEAR_JOINT_LIMIT,-8802946848287911157,3,AUTO,-0.348352548809,0.0303651238838,0.0217902565965,GUARDED_PRODUCTION,false,false,NO_CONVERGENCE,STAGNATION_WINDOW_EXCEEDED,737,true,true,0.528399691202,false,false,false,false,0,9.70514897917,1217041,3.14159265359|-2.37713844122|-0.599237912063
9,VALID_CAMPAIGN,NEAR_JOINT_LIMIT,-8802946848287911157,3,AUTO,-0.348352548809,0.0303651238838,0.0217902565965,UNGUARDED_REFERENCE,true,false,CONVERGED_UNCERTIFIED,NO_GUARDS_OR_FINAL_CERTIFICATION,14,true,false,1.66448374297e-07,false,true,false,true,0,NaN,6792,160.047331082|-260.394466436|-2.67428096981
10,VALID_CAMPAIGN,NEAR_SINGULARITY,-168866553318267969,3,AUTO,1.20360000122,-0.0799999580359,0.160000016409,GUARDED_PRODUCTION,true,true,SUCCESS,NONE,81,true,true,3.13115547024e-08,false,false,false,false,0,3.43414437438,214833,6.24883473508e-07|-1.00016394858e-06|5.34856112724e-08
10,VALID_CAMPAIGN,NEAR_SINGULARITY,-168866553318267969,3,AUTO,1.20360000122,-0.0799999580359,0.160000016409,UNGUARDED_REFERENCE,false,false,MAX_ITERATIONS_UNCERTIFIED,NO_GUARDS_OR_FINAL_CERTIFICATION,800,true,false,0.984822724700,false,false,false,true,0,NaN,448542,145.333549046|-708.979260243|-3.14159273995
11,VALID_CAMPAIGN,MICRO_MOTION,5932821130644053765,3,AUTO,1.20360001345,-0.0799995383945,0.160000180503,GUARDED_PRODUCTION,true,true,SUCCESS,NONE,1,true,true,4.50795606543e-07,false,false,false,false,0,NaN,22916,6.24883473508e-07|-1.00016394858e-06|5.34856112724e-08
11,VALID_CAMPAIGN,MICRO_MOTION,5932821130644053765,3,AUTO,1.20360001345,-0.0799995383945,0.160000180503,UNGUARDED_REFERENCE,false,false,MAX_ITERATIONS_UNCERTIFIED,NO_GUARDS_OR_FINAL_CERTIFICATION,800,true,false,1.62147513145,false,false,false,true,0,NaN,397917,285.749894314|-28.3669562679|-3.14159324332
12,VALID_CAMPAIGN,UNIFORM,-6714581917145054921,3,AUTO,0.502676375220,0.370847925948,-0.136059518361,GUARDED_PRODUCTION,true,true,SUCCESS,NONE,52,true,true,5.37692966180e-07,false,false,false,false,0,58.1721102140,156167,1.50947903591|-1.60128475186|-1.30540718780
12,VALID_CAMPAIGN,UNIFORM,-6714581917145054921,3,AUTO,0.502676375220,0.370847925948,-0.136059518361,UNGUARDED_REFERENCE,true,false,CONVERGED_UNCERTIFIED,NO_GUARDS_OR_FINAL_CERTIFICATION,6,true,false,1.19206451452e-07,false,true,false,true,0,NaN,3084,289.108140804|-29.7087065973|-1.83618158563
13,VALID_CAMPAIGN,NEAR_JOINT_LIMIT,214501867026754241,3,AUTO,-0.348352548809,0.0303651238838,0.0217902565965,GUARDED_PRODUCTION,true,true,SUCCESS,NONE,142,true,true,2.31470841465e-09,false,false,false,false,0,13.1923824539,291208,3.14159256713|-2.37713844122|-2.67428069449
13,VALID_CAMPAIGN,NEAR_JOINT_LIMIT,214501867026754241,3,AUTO,-0.348352548809,0.0303651238838,0.0217902565965,UNGUARDED_REFERENCE,true,false,CONVERGED_UNCERTIFIED,NO_GUARDS_OR_FINAL_CERTIFICATION,11,true,false,2.57467788455e-07,false,true,false,true,0,NaN,6125,285.711032757|-34.1998063129|-2.67428031573
14,VALID_CAMPAIGN,NEAR_SINGULARITY,-7500627133457116296,3,AUTO,1.20360000122,-0.0799999580359,0.160000016409,GUARDED_PRODUCTION,true,true,SUCCESS,NONE,108,true,true,1.28833600462e-08,false,false,false,false,0,13.0508135488,321709,2.94132239768e-07|-4.39505908769e-07|5.34856130555e-08
14,VALID_CAMPAIGN,NEAR_SINGULARITY,-7500627133457116296,3,AUTO,1.20360000122,-0.0799999580359,0.160000016409,UNGUARDED_REFERENCE,false,false,MAX_ITERATIONS_UNCERTIFIED,NO_GUARDS_OR_FINAL_CERTIFICATION,800,true,false,1.80642533573,false,false,false,true,0,NaN,405542,430.332076115|-672.181217138|-3.14159268513
15,VALID_CAMPAIGN,MICRO_MOTION,5782719745957804998,3,AUTO,1.20360001345,-0.0799995383945,0.160000180503,GUARDED_PRODUCTION,true,true,SUCCESS,NONE,1,true,true,4.50460197397e-07,false,false,false,false,0,NaN,6709,2.94132239768e-07|-4.39505908769e-07|5.34856130555e-08
