seed,model,stage,stage_label,feature_count,train_rows,validation_rows,test_rows,held_out_robot,accuracy,balanced_accuracy,macro_f1,reachable_macro_f1,reachable_test_rows,log_loss,fit_seconds,inference_seconds
101,Logistic regression,baseline,Baseline,108,1260,240,500,preset-02-revolute,0.248,0.483271375464684,0.19015849579380054,0.1707458531492866,323,1.6518078482693486,0.012554333021398634,0.00024500000290572643
101,MLP-24,baseline,Baseline,108,1260,240,500,preset-02-revolute,0.592,0.5972303745733603,0.40060690175507013,0.3499539418267334,323,1.043514674449085,0.17858700000215322,0.0002780830254778266
101,Logistic regression,context_10,+10 difficulty/reach,118,1260,240,500,preset-02-revolute,0.052,0.362056783843127,0.057457205095622355,0.030218624935622117,323,1.8686495808155468,0.025170458015054464,0.00023499998496845365
101,MLP-24,context_10,+10 difficulty/reach,118,1260,240,500,preset-02-revolute,0.532,0.4787060588273658,0.40820848863580966,0.2607457337478936,323,2.133837230426872,0.27877270901808515,0.00028983299853280187
101,Logistic regression,context_20,+20 geometry/state,128,1260,240,500,preset-02-revolute,0.166,0.4353627252766365,0.171433819197527,0.14285683189942958,323,1.8269660057352988,0.021999416989274323,0.00033962499583140016
101,MLP-24,context_20,+20 geometry/state,128,1260,240,500,preset-02-revolute,0.626,0.4268516706884933,0.47046021978549235,0.328575225943647,323,1.587938093155451,0.2957931669661775,0.00029141700360924006
101,Logistic regression,context_22,+22 full context,130,1260,240,500,preset-02-revolute,0.204,0.45868388443227026,0.2004667991459995,0.03923849814912744,323,2.079664743787895,0.02694520802469924,0.0002074160147458315
101,MLP-24,context_22,+22 full context,130,1260,240,500,preset-02-revolute,0.472,0.3218548229309333,0.4042425331018256,0.22739018087855298,323,1.7494702141494265,0.17442945897346362,0.000428917002864182
102,Logistic regression,baseline,Baseline,108,1278,222,500,preset-03-revolute,0.49,0.4018101240323462,0.3375749485130101,0.363263259020655,330,1.1716598336203188,0.018152041011489928,0.000237083004321903
102,MLP-24,baseline,Baseline,108,1278,222,500,preset-03-revolute,0.688,0.4112060778727445,0.4029671693586215,0.35406698564593303,330,1.3150835773613723,0.223141124995891,0.00038179103285074234
102,Logistic regression,context_10,+10 difficulty/reach,118,1278,222,500,preset-03-revolute,0.64,0.494596966819189,0.43680972693769765,0.3109845001233709,330,1.1411608629271508,0.025526292040012777,0.00022008299129083753
102,MLP-24,context_10,+10 difficulty/reach,118,1278,222,500,preset-03-revolute,0.736,0.504913810469366,0.48465222363949784,0.4210901390670494,330,1.2045422115479896,0.26981391600565985,0.0002758330083452165
102,Logistic regression,context_20,+20 geometry/state,128,1278,222,500,preset-03-revolute,0.672,0.5201732423954647,0.4592223968337117,0.3526231832683446,330,1.17636171946468,0.029727832996286452,0.00025099999038502574
102,MLP-24,context_20,+20 geometry/state,128,1278,222,500,preset-03-revolute,0.72,0.531842642953754,0.4853507555078236,0.4257580537736179,330,1.2123362761237446,0.19245145801687613,0.0002925409935414791
102,Logistic regression,context_22,+22 full context,130,1278,222,500,preset-03-revolute,0.716,0.5441091829980719,0.48710085798460273,0.40279680737696005,330,1.1150125143288392,0.022644291981123388,0.00024395796936005354
102,MLP-24,context_22,+22 full context,130,1278,222,500,preset-03-revolute,0.752,0.5287706121039454,0.49963687106544247,0.45731272779101256,330,0.9137471529786498,0.1333518329774961,0.0003059169976040721
103,Logistic regression,baseline,Baseline,108,1258,242,500,preset-04-prismatic,0.662,0.3391472868217054,0.2764790764790765,0.3333333333333333,328,1.2035026505394986,0.0052429590141400695,0.00019529100973159075
103,MLP-24,baseline,Baseline,108,1258,242,500,preset-04-prismatic,0.344,0.3333333333333333,0.1706349206349206,0.0,328,6.022455487917269,0.0914055000175722,0.0002697079908102751
103,Logistic regression,context_10,+10 difficulty/reach,118,1258,242,500,preset-04-prismatic,0.656,0.3333333333333333,0.2640901771336554,0.3333333333333333,328,3.749810335999426,0.011547291011083871,0.0001815840369090438
103,MLP-24,context_10,+10 difficulty/reach,118,1258,242,500,preset-04-prismatic,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,328,0.002406072817749968,0.19151758297812194,0.00027604197384789586
