model,stage,stage_label,feature_count,macro_f1_mean,macro_f1_std,macro_f1_ci95_half_width,balanced_accuracy_mean,reachable_macro_f1_mean,reachable_macro_f1_ci95_half_width,reachable_test_rows_mean,log_loss_mean,fit_seconds_mean,inference_seconds_mean
Logistic regression,baseline,Baseline,108,0.25125212864257523,0.06260987893641126,0.035424873848709584,0.35310155074156624,0.2570058966149595,0.05678003680497753,326.0,1.353268105282434,0.011280229009571485,0.00023652767898359647
Logistic regression,context_10,+10 difficulty/reach,118,0.2758643632034032,0.1666197830948399,0.09427401708968042,0.38555425198705073,0.243292148723104,0.07864640737966776,326.0,2.0271241793883976,0.02114423951328111,0.00022800367150921375
Logistic regression,context_20,+20 geometry/state,128,0.3313909693275019,0.14179834067192207,0.08022996395442493,0.39321820356671017,0.22893443556308868,0.07427051227657505,326.0,1.334884663088469,0.024627791664291483,0.00023064916119134674
Logistic regression,context_22,+22 full context,130,0.31783022602568656,0.14646257012129868,0.08286900020002151,0.4337247138276032,0.19825904156148344,0.10935499857716122,326.0,1.7587247077870822,0.0219591806671815,0.00023135749506764114
MLP-24,baseline,Baseline,108,0.3085604096646146,0.11110150479931091,0.06286159402918956,0.4232071520164495,0.2310079499423031,0.08861834671112837,326.0,2.450245767706845,0.17771248607702242,0.0002888192345077793
MLP-24,context_10,+10 difficulty/reach,118,0.4503607328533474,0.15778020042254007,0.08927255236301168,0.4732404978065276,0.29807828501728256,0.059862269630831785,326.0,1.2260575491310828,0.18192377767021148,0.0002910937425137187
MLP-24,context_20,+20 geometry/state,128,0.4379998917821439,0.12204814951622062,0.06905524133773996,0.4779648919681338,0.3058682208636325,0.050773945934147253,326.0,1.6043148195701822,0.21729472223766302,0.00029302091570571065
MLP-24,context_22,+22 full context,130,0.4514384907786773,0.08612693014648062,0.048730898178455745,0.47215489605128114,0.33088078386253533,0.05503789454433428,326.0,1.2126969100063534,0.19144338198627034,0.00032666325084088993
