schemaVersion,runId,globalIteration,featureProfile,candidateId,modelKind,hiddenUnits,epoch,trainingLoss,validationAccuracy,validationBalancedAccuracy,validationMacroF1,validationLogLoss,elapsedMillis,featureSelectionId,featureSelectionName
1,training-1788866029840-bundled-100k-all-feature-profiles,22,CONTEXT_ENHANCED,compact-mlp-32,COMPACT_MLP,32,15,0.15579661614954574,0.7835,0.585793385081267,0.5334673412900106,0.6849584695380445,2604,context_enhanced,Context enhanced · 130
1,training-1788866029840-bundled-100k-all-feature-profiles,23,CONTEXT_ENHANCED,compact-mlp-32,COMPACT_MLP,32,16,0.15435031631228668,0.7659,0.5785132826689291,0.521766496519921,0.7389375231621202,2771,context_enhanced,Context enhanced · 130
1,training-1788866029840-bundled-100k-all-feature-profiles,24,CONTEXT_EXPANDED,compact-mlp-32,COMPACT_MLP,32,1,0.25988961367962493,0.7687,0.5607968138231135,0.5140674964168378,0.7572376360266859,678,context_expanded,Expanded research context · 383
1,training-1788866029840-bundled-100k-all-feature-profiles,25,CONTEXT_EXPANDED,compact-mlp-32,COMPACT_MLP,32,2,0.1802781760402483,0.7056,0.546288168873397,0.4782154491798114,1.0517813143471673,1145,context_expanded,Expanded research context · 383
1,training-1788866029840-bundled-100k-all-feature-profiles,26,CONTEXT_EXPANDED,compact-mlp-32,COMPACT_MLP,32,3,0.16693735086103736,0.776,0.5769296246496943,0.5214175269442679,0.8838258016084232,1594,context_expanded,Expanded research context · 383
1,training-1788866029840-bundled-100k-all-feature-profiles,27,CONTEXT_EXPANDED,compact-mlp-32,COMPACT_MLP,32,4,0.1594073216541559,0.8033,0.590430524105863,0.5392054909013398,0.8170807122269084,2033,context_expanded,Expanded research context · 383
1,training-1788866029840-bundled-100k-all-feature-profiles,28,CONTEXT_EXPANDED,compact-mlp-32,COMPACT_MLP,32,5,0.1523511977912618,0.8068,0.5916026129586781,0.5414406458512835,0.7885484842780461,2464,context_expanded,Expanded research context · 383
1,training-1788866029840-bundled-100k-all-feature-profiles,29,CONTEXT_EXPANDED,compact-mlp-32,COMPACT_MLP,32,6,0.14858891596200238,0.8065,0.5930402373093931,0.5413883735657076,0.7975444446366433,2906,context_expanded,Expanded research context · 383
1,training-1788866029840-bundled-100k-all-feature-profiles,30,CONTEXT_EXPANDED,compact-mlp-32,COMPACT_MLP,32,7,0.1461760590189244,0.7737,0.5811922038352901,0.5212211514060265,0.9465226108777554,3338,context_expanded,Expanded research context · 383
1,training-1788866029840-bundled-100k-all-feature-profiles,31,CONTEXT_EXPANDED,compact-mlp-32,COMPACT_MLP,32,8,0.14235007336638247,0.7993,0.5911733934530023,0.5370414119344006,0.8762258637278745,3773,context_expanded,Expanded research context · 383
1,training-1788866029840-bundled-100k-all-feature-profiles,32,CONTEXT_EXPANDED,compact-mlp-32,COMPACT_MLP,32,9,0.1406185754564681,0.782,0.585196427128116,0.5265150843363134,0.8562457774571025,4204,context_expanded,Expanded research context · 383
1,training-1788866029840-bundled-100k-all-feature-profiles,33,CONTEXT_EXPANDED,compact-mlp-32,COMPACT_MLP,32,10,0.13790115421289567,0.7858,0.5842814304110454,0.5283328106861219,0.8577427460619911,4639,context_expanded,Expanded research context · 383
1,training-1788866029840-bundled-100k-all-feature-profiles,34,CONTEXT_EXPANDED,compact-mlp-32,COMPACT_MLP,32,11,0.1366149962648059,0.8062,0.5946943487331651,0.5414320951868684,0.899391809353453,5071,context_expanded,Expanded research context · 383
1,training-1788866029840-bundled-100k-all-feature-profiles,35,CONTEXT_RESEARCH_V2,compact-mlp-32,COMPACT_MLP,32,1,0.2541723016859763,0.7993,0.5452781339649481,0.5266353096068938,0.8610028440709268,707,context_research_v2,Experimental nonlinear context v2 · 468
1,training-1788866029840-bundled-100k-all-feature-profiles,36,CONTEXT_RESEARCH_V2,compact-mlp-32,COMPACT_MLP,32,2,0.18259499763187553,0.8213,0.574820011237181,0.5466819070785359,0.8202789777885259,1251,context_research_v2,Experimental nonlinear context v2 · 468
1,training-1788866029840-bundled-100k-all-feature-profiles,37,CONTEXT_RESEARCH_V2,compact-mlp-32,COMPACT_MLP,32,3,0.16818240992898234,0.8287,0.5712303185640247,0.5493826922935398,0.8182027550384448,1791,context_research_v2,Experimental nonlinear context v2 · 468
1,training-1788866029840-bundled-100k-all-feature-profiles,38,CONTEXT_RESEARCH_V2,compact-mlp-32,COMPACT_MLP,32,4,0.15660940813331148,0.8311,0.585202636021328,0.5546244407271551,0.7913072863847395,2324,context_research_v2,Experimental nonlinear context v2 · 468
1,training-1788866029840-bundled-100k-all-feature-profiles,39,CONTEXT_RESEARCH_V2,compact-mlp-32,COMPACT_MLP,32,5,0.15459002070182118,0.8425,0.5885914462733939,0.5617788758874281,0.7324855650217601,2839,context_research_v2,Experimental nonlinear context v2 · 468
1,training-1788866029840-bundled-100k-all-feature-profiles,40,CONTEXT_RESEARCH_V2,compact-mlp-32,COMPACT_MLP,32,6,0.14805951266258952,0.8361,0.5714652308482064,0.5540237010297332,0.8460885920679899,3357,context_research_v2,Experimental nonlinear context v2 · 468
1,training-1788866029840-bundled-100k-all-feature-profiles,41,CONTEXT_RESEARCH_V2,compact-mlp-32,COMPACT_MLP,32,7,0.14550503399680303,0.8164,0.5559178508848396,0.5380655503595267,0.789401529783912,3941,context_research_v2,Experimental nonlinear context v2 · 468
1,training-1788866029840-bundled-100k-all-feature-profiles,42,CONTEXT_RESEARCH_V2,compact-mlp-32,COMPACT_MLP,32,8,0.1439146656184905,0.8324,0.5832545637242429,0.5549263803452744,0.7800308069196146,4547,context_research_v2,Experimental nonlinear context v2 · 468
1,training-1788866029840-bundled-100k-all-feature-profiles,43,CONTEXT_RESEARCH_V2,compact-mlp-32,COMPACT_MLP,32,9,0.14135777460324886,0.8409,0.5748025017920166,0.5577267754470973,0.8033588995645975,5064,context_research_v2,Experimental nonlinear context v2 · 468
1,training-1788866029840-bundled-100k-all-feature-profiles,44,CONTEXT_RESEARCH_V2,compact-mlp-32,COMPACT_MLP,32,10,0.13813231644420101,0.8486,0.584640630451383,0.5642343671457705,0.7974772008098495,5644,context_research_v2,Experimental nonlinear context v2 · 468
1,training-1788866029840-bundled-100k-all-feature-profiles,45,CONTEXT_RESEARCH_V2,compact-mlp-32,COMPACT_MLP,32,11,0.13869419365032,0.8266,0.5868501905608229,0.5511408799580853,0.8301751551241093,6189,context_research_v2,Experimental nonlinear context v2 · 468
1,training-1788866029840-bundled-100k-all-feature-profiles,46,CONTEXT_RESEARCH_V2,compact-mlp-32,COMPACT_MLP,32,12,0.1367672027598649,0.8343,0.5870185632903163,0.5563542167651235,0.7327642805748922,6845,context_research_v2,Experimental nonlinear context v2 · 468
1,training-1788866029840-bundled-100k-all-feature-profiles,47,CONTEXT_RESEARCH_V2,compact-mlp-32,COMPACT_MLP,32,13,0.13553444165362255,0.8405,0.5790766379440336,0.5585938325128078,0.7230571534594645,7503,context_research_v2,Experimental nonlinear context v2 · 468
1,training-1788866029840-bundled-100k-all-feature-profiles,48,CONTEXT_RESEARCH_V2,compact-mlp-32,COMPACT_MLP,32,14,0.13474546004141422,0.8464,0.5794999232862855,0.5616284177205063,0.7372265735339859,8072,context_research_v2,Experimental nonlinear context v2 · 468
1,training-1788866029840-bundled-100k-all-feature-profiles,49,CONTEXT_RESEARCH_V2,compact-mlp-32,COMPACT_MLP,32,15,0.13330175318285864,0.8505,0.5926622091209081,0.5667239495703783,0.776939498067702,8593,context_research_v2,Experimental nonlinear context v2 · 468
1,training-1788866029840-bundled-100k-all-feature-profiles,50,CONTEXT_RESEARCH_V2,compact-mlp-32,COMPACT_MLP,32,16,0.13333439942190672,0.8465,0.6002605024481812,0.5656696059702343,0.6714178156740315,9162,context_research_v2,Experimental nonlinear context v2 · 468
1,training-1788866029840-bundled-100k-all-feature-profiles,51,CONTEXT_RESEARCH_V2,compact-mlp-32,COMPACT_MLP,32,17,0.13213296469855618,0.8576,0.6015509815243668,0.5737736791202375,0.7149227389890046,9715,context_research_v2,Experimental nonlinear context v2 · 468
1,training-1788866029840-bundled-100k-all-feature-profiles,52,CONTEXT_RESEARCH_V2,compact-mlp-32,COMPACT_MLP,32,18,0.13128292754561377,0.8567,0.5992970800271206,0.5718958827571617,0.746378336305899,10597,context_research_v2,Experimental nonlinear context v2 · 468
1,training-1788866029840-bundled-100k-all-feature-profiles,53,CONTEXT_RESEARCH_V2,compact-mlp-32,COMPACT_MLP,32,19,0.1298849742130312,0.8399,0.5792097170534102,0.5586148089696286,0.7773812264728935,11331,context_research_v2,Experimental nonlinear context v2 · 468
1,training-1788866029840-bundled-100k-all-feature-profiles,54,CONTEXT_RESEARCH_V2,compact-mlp-32,COMPACT_MLP,32,20,0.13146905894121,0.858,0.5984314430953197,0.5742089913570865,0.6610258413093674,11909,context_research_v2,Experimental nonlinear context v2 · 468
1,training-1788866029840-bundled-100k-all-feature-profiles,55,CONTEXT_RESEARCH_V2,compact-mlp-32,COMPACT_MLP,32,21,0.1296422516834898,0.8575,0.5943569256073675,0.5721813746966702,0.6426004563079947,12446,context_research_v2,Experimental nonlinear context v2 · 468
1,training-1788866029840-bundled-100k-all-feature-profiles,56,CONTEXT_RESEARCH_V2,compact-mlp-32,COMPACT_MLP,32,22,0.12837764437948462,0.8494,0.5973802536646069,0.5678702438128461,0.7431372551395324,13011,context_research_v2,Experimental nonlinear context v2 · 468
1,training-1788866029840-bundled-100k-all-feature-profiles,57,CONTEXT_RESEARCH_V2,compact-mlp-32,COMPACT_MLP,32,23,0.12923554535383344,0.8579,0.6035771503425614,0.5740662048650451,0.6376924966953258,13547,context_research_v2,Experimental nonlinear context v2 · 468
1,training-1788866029840-bundled-100k-all-feature-profiles,58,CONTEXT_RESEARCH_V2,compact-mlp-32,COMPACT_MLP,32,24,0.13011718319152166,0.8538,0.5992908345032701,0.5712771379398681,0.6917120234458365,14084,context_research_v2,Experimental nonlinear context v2 · 468
1,training-1788866029840-bundled-100k-all-feature-profiles,59,CONTEXT_RESEARCH_V2,compact-mlp-32,COMPACT_MLP,32,25,0.12745030755052214,0.8515,0.5913579752399961,0.5681646700647578,0.6636119850286349,14713,context_research_v2,Experimental nonlinear context v2 · 468
1,training-1788866029840-bundled-100k-all-feature-profiles,60,CONTEXT_RESEARCH_V2,compact-mlp-32,COMPACT_MLP,32,26,0.12897214592082556,0.8534,0.6042865942321433,0.5717560443479136,0.7008330646148815,15262,context_research_v2,Experimental nonlinear context v2 · 468
