trialIndex,cohort,scenario,seed,linkCount,jointMode,targetX,targetY,targetZ,branch,reportedConverged,validatedSuccess,status,detailCode,iterations,stateFinite,jointLimitsValid,independentResidualMeters,nonFiniteEncountered,unsafeSuccess,exceptionContained,contaminatingTrainingCandidate,backtrackingRetryCount,seedConditionNumber,durationNanos,jointValues
0,VALID_CAMPAIGN,UNIFORM,-1814248167336389885,3,AUTO,0.178425824762,-0.773791618693,-0.137530569100,GUARDED_PRODUCTION,true,true,SUCCESS,NONE,50,true,true,6.20616658064e-10,false,false,false,false,0,58.1726278853,11092375,-0.729832675003|-1.08112982859|-1.32435506003
0,VALID_CAMPAIGN,UNIFORM,-1814248167336389885,3,AUTO,0.178425824762,-0.773791618693,-0.137530569100,UNGUARDED_REFERENCE,true,false,CONVERGED_UNCERTIFIED,NO_GUARDS_OR_FINAL_CERTIFICATION,6,true,false,4.94701874417e-07,false,true,false,true,0,NaN,991708,16.8910427863|-30.0018007672|-1.32434983484
1,VALID_CAMPAIGN,NEAR_JOINT_LIMIT,6217466753412309269,3,AUTO,-0.348352548809,0.0303651238838,0.298209743404,GUARDED_PRODUCTION,false,false,NO_CONVERGENCE,STAGNATION_WINDOW_EXCEEDED,82,true,true,0.276419472157,false,false,false,false,0,20.9657528752,3193375,-3.14159265359|-2.37713844122|-2.67428074637
1,VALID_CAMPAIGN,NEAR_JOINT_LIMIT,6217466753412309269,3,AUTO,-0.348352548809,0.0303651238838,0.298209743404,UNGUARDED_REFERENCE,true,false,CONVERGED_UNCERTIFIED,NO_GUARDS_OR_FINAL_CERTIFICATION,23,true,false,1.29164270214e-07,false,true,false,true,0,NaN,204417,21.8172512233|-34.1998030099|2.67428049589
2,VALID_CAMPAIGN,NEAR_SINGULARITY,-8435919597179588632,3,AUTO,1.20360000122,-0.0799999580359,0.160000016409,GUARDED_PRODUCTION,false,false,NO_CONVERGENCE,STAGNATION_WINDOW_EXCEEDED,382,true,true,1.24327554849,false,false,false,false,0,13.0508586084,14557875,-3.14159265359|-2.37713844122|-9.08022957378e-05
2,VALID_CAMPAIGN,NEAR_SINGULARITY,-8435919597179588632,3,AUTO,1.20360000122,-0.0799999580359,0.160000016409,UNGUARDED_REFERENCE,false,false,MAX_ITERATIONS_UNCERTIFIED,NO_GUARDS_OR_FINAL_CERTIFICATION,800,true,false,1.08317716833,false,false,false,true,0,NaN,4490625,-112.298485928|241.551395165|3.14159259365
3,VALID_CAMPAIGN,MICRO_MOTION,8890227617217439011,3,AUTO,1.20360001345,-0.0799995383945,0.160000180503,GUARDED_PRODUCTION,false,false,NO_CONVERGENCE,STAGNATION_WINDOW_EXCEEDED,13,true,true,1.24327538632,false,false,false,false,0,2.59062078878,476709,-3.14159265359|-2.37713844122|-6.28205641456e-05
3,VALID_CAMPAIGN,MICRO_MOTION,8890227617217439011,3,AUTO,1.20360001345,-0.0799995383945,0.160000180503,UNGUARDED_REFERENCE,false,false,MAX_ITERATIONS_UNCERTIFIED,NO_GUARDS_OR_FINAL_CERTIFICATION,800,true,false,1.17862193622,false,false,false,true,0,NaN,2313667,17.5045155731|-11.7964880483|3.14159206530
4,VALID_CAMPAIGN,UNIFORM,-5798179014580279991,3,AUTO,-0.0367004234709,-0.355781808499,-0.0933904196748,GUARDED_PRODUCTION,true,true,SUCCESS,NONE,63,true,true,1.01283167252e-11,false,false,false,false,0,2.59062072632,714042,-0.208687859633|-2.34264949931|-0.971821459448
4,VALID_CAMPAIGN,UNIFORM,-5798179014580279991,3,AUTO,-0.0367004234709,-0.355781808499,-0.0933904196748,UNGUARDED_REFERENCE,true,false,CONVERGED_UNCERTIFIED,NO_GUARDS_OR_FINAL_CERTIFICATION,8,true,false,1.79296521373e-10,false,true,false,true,0,NaN,29625,11.3691064783|16.7903018745|4.11341411383
5,VALID_CAMPAIGN,NEAR_JOINT_LIMIT,-5764026952433144480,3,AUTO,-0.348352548809,0.0303651238838,0.0217902565965,GUARDED_PRODUCTION,false,false,NO_CONVERGENCE,STAGNATION_WINDOW_EXCEEDED,140,true,true,0.0947489564335,false,false,false,false,0,4.52281311488,1173792,-1.35565109387|-2.37713844122|-0.467471365197
5,VALID_CAMPAIGN,NEAR_JOINT_LIMIT,-5764026952433144480,3,AUTO,-0.348352548809,0.0303651238838,0.0217902565965,UNGUARDED_REFERENCE,true,false,CONVERGED_UNCERTIFIED,NO_GUARDS_OR_FINAL_CERTIFICATION,7,true,false,3.95724119945e-07,false,true,false,true,0,NaN,34708,9.25087776160|16.0656725975|3.60890517183
