seed,model,stage,stage_label,feature_count,train_rows,validation_rows,test_rows,held_out_robot,accuracy,balanced_accuracy,macro_f1,reachable_macro_f1,reachable_test_rows,log_loss,fit_seconds,inference_seconds
101,Logistic regression,baseline,Baseline,108,5737,1013,2250,preset-02-revolute,0.13866666666666666,0.41934574168076705,0.13778427936731405,0.01906260643115198,1464,1.7882710528885848,0.02565404202323407,0.0008079579565674067
101,MLP-24,baseline,Baseline,108,5737,1013,2250,preset-02-revolute,0.6266666666666667,0.5025002902854944,0.40937990417448483,0.3407853168911557,1464,0.888028270461325,0.5270504580112174,0.0008048330200836062
101,Logistic regression,context_10,+10 difficulty/reach,118,5737,1013,2250,preset-02-revolute,0.003111111111111111,0.3333333333333333,0.002067641411903707,0.003172445048719692,1464,3.8792255338552333,0.12654454202856869,0.0009332090266980231
101,MLP-24,context_10,+10 difficulty/reach,118,5737,1013,2250,preset-02-revolute,0.6382222222222222,0.5292256549953293,0.4600129765191682,0.3353322874697773,1464,1.1111097732342197,0.5589492499711923,0.0007434160215780139
101,Logistic regression,context_20,+20 geometry/state,128,5737,1013,2250,preset-02-revolute,0.003111111111111111,0.3333333333333333,0.002067641411903707,0.003172445048719692,1464,3.8736668237110683,0.15459545800695196,0.0007342500030063093
101,MLP-24,context_20,+20 geometry/state,128,5737,1013,2250,preset-02-revolute,0.7293333333333333,0.5422409630081733,0.5040729474269479,0.2929421036759758,1464,1.2246777512551628,0.880150125012733,0.0011516669765114784
101,Logistic regression,context_22,+22 full context,130,5737,1013,2250,preset-02-revolute,0.17866666666666667,0.44472645234066555,0.16948999003532927,0.003172445048719692,1464,3.664514800083138,0.12332908296957612,0.001014165987726301
101,MLP-24,context_22,+22 full context,130,5737,1013,2250,preset-02-revolute,0.6937777777777778,0.6103664310436966,0.5186406632122188,0.39221763407675714,1464,0.941168284958414,0.8345017080428079,0.001070333004463464
102,Logistic regression,baseline,Baseline,108,5748,1002,2250,preset-03-revolute,0.47644444444444445,0.3848875214421433,0.3254542687820365,0.3468259303307651,1471,1.136309194200182,0.04963879199931398,0.0007880839984863997
102,MLP-24,baseline,Baseline,108,5748,1002,2250,preset-03-revolute,0.7524444444444445,0.5025240865577,0.487787976784388,0.4599742701512464,1471,1.5248413376274892,1.111701791989617,0.0008627079660072923
102,Logistic regression,context_10,+10 difficulty/reach,118,5748,1002,2250,preset-03-revolute,0.6537777777777778,0.49602603279073865,0.44162943154210427,0.3231797651309846,1471,1.1386713241994026,0.10448475001612678,0.0005768330302089453
102,MLP-24,context_10,+10 difficulty/reach,118,5748,1002,2250,preset-03-revolute,0.7746666666666666,0.4767071164129988,0.47981567272905856,0.43982696607368527,1471,1.034983565612067,0.7935786249581724,0.0007519170176237822
102,Logistic regression,context_20,+20 geometry/state,128,5748,1002,2250,preset-03-revolute,0.664,0.5044559781954739,0.4489443733896829,0.3395364819675036,1471,1.1984534458389726,0.15859825001098216,0.0006367499590851367
