seed,profile,candidate,model_kind,hidden_units,epoch,training_loss,validation_accuracy,validation_balanced_accuracy,validation_macro_f1,validation_log_loss,elapsed_ms
2604,BASELINE_KINEMATICS,compact-mlp-24,COMPACT_MLP,24,1,0.6333196377498478,0.59175,0.5693084071656607,0.5736753644934663,0.8947507703886839,331
2604,BASELINE_KINEMATICS,compact-mlp-24,COMPACT_MLP,24,2,0.41222494553878897,0.66,0.6085021551332112,0.6169437563321339,0.7233646805649808,482
2604,BASELINE_KINEMATICS,compact-mlp-24,COMPACT_MLP,24,3,0.32137009404230593,0.704625,0.646248881914837,0.6586795362209616,0.6520076475515586,624
2604,BASELINE_KINEMATICS,compact-mlp-24,COMPACT_MLP,24,4,0.28798530481268364,0.7355,0.6983800512230146,0.7084137982479746,0.6064040797845082,767
2604,BASELINE_KINEMATICS,compact-mlp-24,COMPACT_MLP,24,5,0.2782321919146511,0.7225,0.6660390034016975,0.6828001990126707,0.6994582047930937,912
2604,BASELINE_KINEMATICS,compact-mlp-24,COMPACT_MLP,24,6,0.27331560875358885,0.738375,0.6904960677751731,0.7092837763996697,0.6422615042863609,1053
2604,BASELINE_KINEMATICS,compact-mlp-24,COMPACT_MLP,24,7,0.26996509938799196,0.723625,0.6715945833985847,0.6895348276533991,0.6759644398871593,1194
2604,BASELINE_KINEMATICS,compact-mlp-24,COMPACT_MLP,24,8,0.26557364457801746,0.72,0.6602758156793831,0.6856481896033682,0.6868117414633407,1334
2604,BASELINE_KINEMATICS,compact-mlp-24,COMPACT_MLP,24,9,0.26394967695082255,0.705125,0.6308088745638244,0.6624280372417449,0.7493868008777721,1476
2604,BASELINE_KINEMATICS,compact-mlp-24,COMPACT_MLP,24,10,0.26161491375865037,0.715125,0.6471252044717145,0.677978697076545,0.7288419320354482,1615
2604,BASELINE_KINEMATICS,compact-mlp-24,COMPACT_MLP,24,11,0.26004174427050325,0.708875,0.6399501174044061,0.6703115314348359,0.7473835559537354,1756
2604,BASELINE_KINEMATICS,compact-mlp-24,COMPACT_MLP,24,12,0.25894357430945564,0.707875,0.6430781236000581,0.6743775499681167,0.747878397212907,1895
2604,BASELINE_KINEMATICS,compact-mlp-24,COMPACT_MLP,24,13,0.25684001642422616,0.7075,0.645695583281238,0.6762056855483821,0.6955107692503768,2035
2604,BASELINE_KINEMATICS,compact-mlp-24,COMPACT_MLP,24,14,0.2554319512615486,0.692,0.6219600848285295,0.6533440594996844,0.7596962160025613,2174
2604,CONTEXT_ENHANCED,compact-mlp-24,COMPACT_MLP,24,1,0.44150876541328676,0.75575,0.7284178168169766,0.7366254197332199,0.5413450687379063,192
2604,CONTEXT_ENHANCED,compact-mlp-24,COMPACT_MLP,24,2,0.2639040876405039,0.78825,0.774147412913726,0.7769486434179931,0.4509176772800069,365
2604,CONTEXT_ENHANCED,compact-mlp-24,COMPACT_MLP,24,3,0.2324622665903306,0.79225,0.7772775934478355,0.7801633395927632,0.46927502784603314,536
2604,CONTEXT_ENHANCED,compact-mlp-24,COMPACT_MLP,24,4,0.2179198714441829,0.81275,0.7925968601509217,0.8011260180801941,0.43343301102623594,709
2604,CONTEXT_ENHANCED,compact-mlp-24,COMPACT_MLP,24,5,0.21101682775347824,0.808625,0.7942877386121422,0.7983749687528464,0.4421073301268819,881
2604,CONTEXT_ENHANCED,compact-mlp-24,COMPACT_MLP,24,6,0.204878482959728,0.8235,0.81082852525339,0.8141675154186049,0.4029709999853548,1052
2604,CONTEXT_ENHANCED,compact-mlp-24,COMPACT_MLP,24,7,0.20173419039705515,0.82475,0.7942722009756548,0.8104495049050509,0.439115722379513,1223
2604,CONTEXT_ENHANCED,compact-mlp-24,COMPACT_MLP,24,8,0.19828654911694854,0.827125,0.8013513072864508,0.8126057525753421,0.43365537778525426,1393
2604,CONTEXT_ENHANCED,compact-mlp-24,COMPACT_MLP,24,9,0.19533453423499528,0.824875,0.7940352618897607,0.8080368185634358,0.454101515882331,1563
2604,CONTEXT_ENHANCED,compact-mlp-24,COMPACT_MLP,24,10,0.19379666246503238,0.83,0.8084976090455412,0.8182450186842983,0.4188329340614566,1749
2604,CONTEXT_ENHANCED,compact-mlp-24,COMPACT_MLP,24,11,0.1908941211875636,0.825,0.7934929209631356,0.8107687339634001,0.4360427932172805,1920
2604,CONTEXT_ENHANCED,compact-mlp-24,COMPACT_MLP,24,12,0.18920156009521116,0.819,0.7858067557823937,0.801831255274179,0.48779054829290996,2089
2604,CONTEXT_ENHANCED,compact-mlp-24,COMPACT_MLP,24,13,0.18883621182552676,0.8345,0.8092785095888466,0.823304977858303,0.41400638222019503,2258
2604,CONTEXT_ENHANCED,compact-mlp-24,COMPACT_MLP,24,14,0.18671259341001453,0.824125,0.7966313613747413,0.8127545304623519,0.44546113304814633,2428
2604,CONTEXT_ENHANCED,compact-mlp-24,COMPACT_MLP,24,15,0.18667468416309532,0.826375,0.8091608460810624,0.8175486437922971,0.4096802533590333,2597
2604,CONTEXT_ENHANCED,compact-mlp-24,COMPACT_MLP,24,16,0.1851867694532966,0.82625,0.8066427354774003,0.8159562630476728,0.4258345388956149,2768
2604,CONTEXT_ENHANCED,compact-mlp-24,COMPACT_MLP,24,17,0.18417547656478467,0.822875,0.8043965049582108,0.8146398862258272,0.40568805376961864,2936
2604,CONTEXT_ENHANCED,compact-mlp-24,COMPACT_MLP,24,18,0.1832089151672239,0.8205,0.796188618404193,0.8103551483207214,0.43917248382664903,3103
2604,CONTEXT_ENHANCED,compact-mlp-24,COMPACT_MLP,24,19,0.18276206761504457,0.818,0.7823059975417849,0.8031074984080311,0.4729621946182269,3272
2604,CONTEXT_ENHANCED,compact-mlp-24,COMPACT_MLP,24,20,0.18200136988656926,0.832875,0.8013143452952688,0.8178937871254344,0.43691676961643156,3444
2604,CONTEXT_ENHANCED,compact-mlp-24,COMPACT_MLP,24,21,0.18162990204381033,0.8305,0.7965215988799027,0.8142906995006042,0.44471488766360057,3614
2604,CONTEXT_EXPANDED,compact-mlp-24,COMPACT_MLP,24,1,0.30656630620974645,0.81,0.8088208843150132,0.8107987239537526,0.3971443788943719,566
2604,CONTEXT_EXPANDED,compact-mlp-24,COMPACT_MLP,24,2,0.2162014915669194,0.840875,0.842240911991437,0.8419517687782868,0.348735135411116,1074
2604,CONTEXT_EXPANDED,compact-mlp-24,COMPACT_MLP,24,3,0.19534167887962414,0.83975,0.8322968130064132,0.8374675881169744,0.349807331368899,1579
2604,CONTEXT_EXPANDED,compact-mlp-24,COMPACT_MLP,24,4,0.18603062193864206,0.847125,0.8283845541623339,0.8420253962823029,0.3389416607768287,2082
2604,CONTEXT_EXPANDED,compact-mlp-24,COMPACT_MLP,24,5,0.17984044812002614,0.84225,0.8197716914302949,0.8350712489435534,0.3645225234519655,2587
2604,CONTEXT_EXPANDED,compact-mlp-24,COMPACT_MLP,24,6,0.17500550420203617,0.826,0.8035713579668678,0.8184819538209064,0.4172188456651106,3091
2604,CONTEXT_EXPANDED,compact-mlp-24,COMPACT_MLP,24,7,0.17134519746402954,0.861,0.8571132435655868,0.8605888399514949,0.3082703720482602,3594
2604,CONTEXT_EXPANDED,compact-mlp-24,COMPACT_MLP,24,8,0.16714567946038908,0.862,0.8697229281536812,0.8641840642642578,0.3120335040196684,4103
2604,CONTEXT_EXPANDED,compact-mlp-24,COMPACT_MLP,24,9,0.16552128515398354,0.85375,0.8420630219875253,0.8502241104983629,0.33843626991911885,4608
2604,CONTEXT_EXPANDED,compact-mlp-24,COMPACT_MLP,24,10,0.16275477233717844,0.869125,0.8603897594045143,0.8668425563592637,0.2941784084268129,5112
2604,CONTEXT_EXPANDED,compact-mlp-24,COMPACT_MLP,24,11,0.16119974409063564,0.866375,0.8677638876280452,0.8675414064971328,0.30326947769269486,5610
