model,stage,stage_label,feature_count,macro_f1_mean,macro_f1_std,macro_f1_ci95_half_width,balanced_accuracy_mean,reachable_macro_f1_mean,reachable_macro_f1_ci95_half_width,reachable_test_rows_mean,log_loss_mean,fit_seconds_mean,inference_seconds_mean
Logistic regression,baseline,Baseline,108,0.28450049481547685,0.0910412628060136,0.05151144363664711,0.36701813766442254,0.2594879346572799,0.053193819848700516,163.0,1.3399554993152056,0.007257385504393217,0.00017528125317767262
Logistic regression,context_10,+10 difficulty/reach,118,0.31290827343146727,0.11124557808880715,0.06294311116661377,0.403534843661413,0.2608057763864901,0.06149940234787234,163.0,1.4603180446568924,0.010184649499327255,0.00017046874078611532
Logistic regression,context_20,+20 geometry/state,128,0.41128289329649426,0.13685053720805174,0.07743048060589729,0.47528149032924166,0.27944018434317586,0.03841257457760744,163.0,1.0691898610698523,0.012109312587805713,0.00019036465770720193
Logistic regression,context_22,+22 full context,130,0.35138430498357315,0.14277542790802042,0.08078280310163241,0.44927164549426873,0.2131416368474854,0.08841363755534222,163.0,1.1901068840250832,0.012094243002745012,0.0001720556707975144
MLP-24,baseline,Baseline,108,0.3071638432065788,0.08511379654904494,0.04815766388235529,0.3965473333079501,0.22305447962941471,0.08262769089058529,163.0,2.622612526685133,0.10923740274544495,0.00021399642476656786
MLP-24,context_10,+10 difficulty/reach,118,0.34158218319555567,0.10175028375420965,0.057570642641301475,0.39950104254316315,0.23470225058997093,0.06009852300330956,163.0,1.2095888472587888,0.06179950000174964,0.000209708411906225
MLP-24,context_20,+20 geometry/state,128,0.38336983326357177,0.14584396065940336,0.08251898894745997,0.4268977968937296,0.26889443499672344,0.08732147614142799,163.0,1.2948219320833012,0.05736165966178911,0.00022297559674674025
MLP-24,context_22,+22 full context,130,0.3714459795655547,0.12234578593961665,0.06922364499752492,0.4341322837692394,0.26160749924914795,0.10166522039052417,163.0,1.39220228120975,0.07802806242155687,0.00021138525335118175
