model,stage,stage_label,feature_count,macro_f1_mean,macro_f1_std,macro_f1_ci95_half_width,balanced_accuracy_mean,reachable_macro_f1_mean,reachable_macro_f1_ci95_half_width,reachable_test_rows_mean,log_loss_mean,fit_seconds_mean,inference_seconds_mean
Logistic regression,baseline,Baseline,108,0.6146249952367481,0.021411866370265712,0.0121149038764707,0.6713468681880318,0.709026526198627,0.019122143339308506,290.0833333333333,0.7644413697045108,0.01551739925344009,0.00022902766553064188
Logistic regression,context_10,+10 difficulty/reach,118,0.7948950338911372,0.014207947375435293,0.00803890299700281,0.8068470532167314,0.6964748853968062,0.007416906563540661,290.0833333333333,0.47085945656816847,0.03311200350678215,0.0002327395729177321
Logistic regression,context_20,+20 geometry/state,128,0.8005239207713316,0.017253744577007016,0.009762224994542766,0.8094012673718437,0.7150069696544757,0.010208231885719956,290.0833333333333,0.4617079821771342,0.039089135413329736,0.00022765290729391077
Logistic regression,context_22,+22 full context,130,0.8424201094947382,0.01884450831723801,0.010662284310709437,0.8566195724881389,0.7561859288459276,0.01437146497522769,290.0833333333333,0.3654478310850054,0.040035343656199984,0.00025704850365097326
MLP-24,baseline,Baseline,108,0.8236670281579811,0.02036059139884553,0.011520089066483778,0.8412592149810805,0.7644882826652132,0.01567254387822661,290.0833333333333,0.4382898093603132,0.27035283350657363,0.0002855451699967186
MLP-24,context_10,+10 difficulty/reach,118,0.8636933231772902,0.020711254334422835,0.011718495299929152,0.8741776884752493,0.7971195562000438,0.014447524321866788,290.0833333333333,0.3220631008493355,0.2739103089115815,0.0003010069243221854
MLP-24,context_20,+20 geometry/state,128,0.8692010120597677,0.01697620214590639,0.009605190581181425,0.8781294170786552,0.8148381256605264,0.009041848991181312,290.0833333333333,0.32649182152090556,0.3198474547486209,0.00028533333776673925
MLP-24,context_22,+22 full context,130,0.8585308203513797,0.0120640028440786,0.006825852183742527,0.8707593454238206,0.797394975295944,0.011234835022136696,290.0833333333333,0.3368898500497039,0.2670882951739865,0.0002838264238865425
