schemaVersion,globalRowIndex,batchId,baseRandomSeed,robotRandomSeed,randomProtocol,robotId,robotName,jointCount,jointTypes,dhThetaRad,dhDMeters,dhAMeters,dhAlphaRad,jointMinValues,jointMaxValues,jointHomeValues,ikMaxIterations,ikToleranceMeters,ikDamping,ikMaxStep,metricNumericalEpsilon,metricNearSuccessErrorMeters,metricCloseMissErrorMeters,metricStalledImprovementRatioEpsilon,metricJointLimitMarginRatio,metricEasySeedDistanceUpperMeters,metricMediumSeedDistanceUpperMeters,metricHardSeedDistanceUpperMeters,metricLogConditionNumberCap,sampleIndex,targetClass,targetSamplingStrategy,targetSourceJointValues,seedJointValues,targetX,targetY,targetZ,solutionJointValues,solverAccepted,acceptanceClass,status,detailCode,converged,finalError,iterations,initialError,improvement,improvementRatio,progressClass,seedDistanceBucket,iterationSaturationRatio,jointDeltaNorm,maxSingleJointMovement,seedMinNormalizedLimitMargin,seedConditionNumber,seedLogConditionNumber,normalizedJointTravelRms,finalMinNormalizedLimitMargin,backtrackingRetryCount,solveDurationNanos,nearLimitJointCount,nearLimitJointNames,jointLimitPressureRatio
6,0,batch-2,2604,7621035596289092341,rkl-splitmix64-seed-v1,preset-02-revolute,2-Link Revolute Example,2,REVOLUTE;REVOLUTE,0.00000000000;0.00000000000,0.120000000000;0.00000000000,0.428400000000;0.346800000000,0.00000000000;0.00000000000,-3.14159265359;-2.12581102893,3.14159265359;2.12581102893,0.00000000000;0.00000000000,800,0.000100000000000,0.0100000000000,0.0200000000000,1.00000000000e-12,0.00100000000000,0.0100000000000,0.0100000000000,0.0500000000000,0.100000000000,0.500000000000,1.00000000000,12.0000000000,0,FK_PROVEN_REACHABLE,UNIFORM_JOINT_SPACE_FK,-0.188196278630;-1.45681903673,-1.88238070184;0.660294075448,0.395120342623,-0.425993482471,0.120000000000,-1.45776300543;1.45681927694,true,ACCEPTED,SUCCESS,NONE,true,7.26068096870e-08,25,0.510991398172,0.510991325565,0.999999857910,SOLVED,HARD,0.0312500000000,0.902636463213,0.796525201496,0.200409806522,9.52096328866,0.978680890589,0.140829067841,0.157349769777,0,42333,0,,0.00000000000
6,1,batch-2,2604,7621035596289092341,rkl-splitmix64-seed-v1,preset-02-revolute,2-Link Revolute Example,2,REVOLUTE;REVOLUTE,0.00000000000;0.00000000000,0.120000000000;0.00000000000,0.428400000000;0.346800000000,0.00000000000;0.00000000000,-3.14159265359;-2.12581102893,3.14159265359;2.12581102893,0.00000000000;0.00000000000,800,0.000100000000000,0.0100000000000,0.0200000000000,1.00000000000e-12,0.00100000000000,0.0100000000000,0.0100000000000,0.0500000000000,0.100000000000,0.500000000000,1.00000000000,12.0000000000,1,FK_PROVEN_REACHABLE,UNIFORM_JOINT_SPACE_FK,-1.71378910744;-1.48799017497,2.08616352825;-2.10110191448,-0.407221623966,-0.403167600555,0.120000000000,3.14159265359;-2.12581102893,false,REJECTED,NO_CONVERGENCE,STAGNATION_WINDOW_EXCEEDED,false,0.716368437438,40,0.942721904008,0.226353466570,0.240106298165,IMPROVED_BUT_NOT_ENOUGH,HARD,0.0500000000000,1.05571832368,1.05542912534,0.00581169118847,1.87038629861,0.271931312434,0.118848576883,0.00000000000,0,30583,2,J1;J2,1.00000000000
6,2,batch-2,2604,7621035596289092341,rkl-splitmix64-seed-v1,preset-02-revolute,2-Link Revolute Example,2,REVOLUTE;REVOLUTE,0.00000000000;0.00000000000,0.120000000000;0.00000000000,0.428400000000;0.346800000000,0.00000000000;0.00000000000,-3.14159265359;-2.12581102893,3.14159265359;2.12581102893,0.00000000000;0.00000000000,800,0.000100000000000,0.0100000000000,0.0200000000000,1.00000000000e-12,0.00100000000000,0.0100000000000,0.0100000000000,0.0500000000000,0.100000000000,0.500000000000,1.00000000000,12.0000000000,2,GUARANTEED_UNREACHABLE,OUTSIDE_CONSERVATIVE_REACH_BOUND_NEAR,,-0.986158288156;-0.944626767613,-0.0610525560432,0.0694753077262,0.861596178760,-0.609532758407;-2.12581102893,false,REJECTED,NO_CONVERGENCE,STAGNATION_WINDOW_EXCEEDED,false,0.873411487360,36,1.07011408961,0.196702602251,0.183814608331,IMPROVED_BUT_NOT_ENOUGH,EXTREME,0.0450000000000,1.23977540258,1.18118426132,0.277819675701,6.38664449232,0.805272742161,0.200968646015,0.00000000000,0,34834,1,J2,0.500000000000
6,3,batch-2,2604,7621035596289092341,rkl-splitmix64-seed-v1,preset-02-revolute,2-Link Revolute Example,2,REVOLUTE;REVOLUTE,0.00000000000;0.00000000000,0.120000000000;0.00000000000,0.428400000000;0.346800000000,0.00000000000;0.00000000000,-3.14159265359;-2.12581102893,3.14159265359;2.12581102893,0.00000000000;0.00000000000,800,0.000100000000000,0.0100000000000,0.0200000000000,1.00000000000e-12,0.00100000000000,0.0100000000000,0.0100000000000,0.0500000000000,0.100000000000,0.500000000000,1.00000000000,12.0000000000,3,FK_PROVEN_REACHABLE,UNIFORM_JOINT_SPACE_FK,-0.0386936054332;-1.64903058487,0.555675693797;0.566818858944,0.387621096716,-0.361004157885,0.120000000000,-1.46124758238;1.64925999523,true,ACCEPTED,SUCCESS,NONE,true,9.60344122274e-05,50,0.908394099331,0.908298064919,0.999894281114,SOLVED,HARD,0.0625000000000,2.28902999446,2.01692327618,0.366681739056,11.2024782919,1.04931411101,0.289708188461,0.112086875835,0,46000,0,,0.00000000000
6,4,batch-2,2604,7621035596289092341,rkl-splitmix64-seed-v1,preset-02-revolute,2-Link Revolute Example,2,REVOLUTE;REVOLUTE,0.00000000000;0.00000000000,0.120000000000;0.00000000000,0.428400000000;0.346800000000,0.00000000000;0.00000000000,-3.14159265359;-2.12581102893,3.14159265359;2.12581102893,0.00000000000;0.00000000000,800,0.000100000000000,0.0100000000000,0.0200000000000,1.00000000000e-12,0.00100000000000,0.0100000000000,0.0100000000000,0.0500000000000,0.100000000000,0.500000000000,1.00000000000,12.0000000000,4,GUARANTEED_UNREACHABLE,OUTSIDE_CONSERVATIVE_REACH_BOUND_NEAR,,-1.88981603742;1.12494047746,-0.823356848051,0.00599084485955,-0.118537135026,-3.13729807858;-0.0260963099277,false,REJECTED,MAX_ITERATIONS_REACHED,NEAR_SINGULARITY_WARNING,false,0.243366895243,800,1.16845914042,0.925092245178,0.791719807031,IMPROVED_BUT_NOT_ENOUGH,EXTREME,1.00000000000,1.69737948878,1.24748204116,0.199226436110,5.17592110416,0.713987647821,0.237395673180,0.000683502841291,0,558333,1,J1,0.500000000000
6,5,batch-2,2604,7621035596289092341,rkl-splitmix64-seed-v1,preset-02-revolute,2-Link Revolute Example,2,REVOLUTE;REVOLUTE,0.00000000000;0.00000000000,0.120000000000;0.00000000000,0.428400000000;0.346800000000,0.00000000000;0.00000000000,-3.14159265359;-2.12581102893,3.14159265359;2.12581102893,0.00000000000;0.00000000000,800,0.000100000000000,0.0100000000000,0.0200000000000,1.00000000000e-12,0.00100000000000,0.0100000000000,0.0100000000000,0.0500000000000,0.100000000000,0.500000000000,1.00000000000,12.0000000000,5,GUARANTEED_UNREACHABLE,OUTSIDE_CONSERVATIVE_REACH_BOUND_NEAR,,-0.597209434654;-1.38351333745,0.614981783321,0.367931315565,-0.460472013845,0.888965561557;-0.786963859944,false,REJECTED,NO_CONVERGENCE,STAGNATION_WINDOW_EXCEEDED,false,0.580472013845,70,1.16415601368,0.583683999834,0.501379534165,IMPROVED_BUT_NOT_ENOUGH,EXTREME,0.0875000000000,1.60143292038,1.48617499621,0.174591645583,3.93947629552,0.595438491601,0.194466730463,0.314902677323,0,64875,0,,0.00000000000
6,6,batch-2,2604,7621035596289092341,rkl-splitmix64-seed-v1,preset-02-revolute,2-Link Revolute Example,2,REVOLUTE;REVOLUTE,0.00000000000;0.00000000000,0.120000000000;0.00000000000,0.428400000000;0.346800000000,0.00000000000;0.00000000000,-3.14159265359;-2.12581102893,3.14159265359;2.12581102893,0.00000000000;0.00000000000,800,0.000100000000000,0.0100000000000,0.0200000000000,1.00000000000e-12,0.00100000000000,0.0100000000000,0.0100000000000,0.0500000000000,0.100000000000,0.500000000000,1.00000000000,12.0000000000,6,FK_PROVEN_REACHABLE,UNIFORM_JOINT_SPACE_FK,-0.793881579562;-2.11342509757,1.99951891121;-1.27267617906,-0.0369817044797,-0.385992558333,0.120000000000,2.34414413303;-2.12581102893,false,REJECTED,NO_CONVERGENCE,STAGNATION_WINDOW_EXCEEDED,false,0.771445296788,28,1.01297644187,0.241531145086,0.238437080175,IMPROVED_BUT_NOT_ENOUGH,EXTREME,0.0350000000000,0.920111740812,0.853134849870,0.181766681475,4.41616864973,0.645045650375,0.147093914853,0.00000000000,0,26125,1,J2,0.500000000000
6,7,batch-2,2604,7621035596289092341,rkl-splitmix64-seed-v1,preset-02-revolute,2-Link Revolute Example,2,REVOLUTE;REVOLUTE,0.00000000000;0.00000000000,0.120000000000;0.00000000000,0.428400000000;0.346800000000,0.00000000000;0.00000000000,-3.14159265359;-2.12581102893,3.14159265359;2.12581102893,0.00000000000;0.00000000000,800,0.000100000000000,0.0100000000000,0.0200000000000,1.00000000000e-12,0.00100000000000,0.0100000000000,0.0100000000000,0.0500000000000,0.100000000000,0.500000000000,1.00000000000,12.0000000000,7,FK_PROVEN_REACHABLE,UNIFORM_JOINT_SPACE_FK,-1.70126448039;-0.391505114916,-0.214601460797;-1.98715037618,-0.228645695501,-0.725378145734,0.120000000000,-1.70126237053;-0.391509813032,true,ACCEPTED,SUCCESS,NONE,true,3.50450608470e-07,48,0.566856387576,0.566856037125,0.999999381765,SOLVED,HARD,0.0600000000000,2.18087814132,1.59564056315,0.0326135886165,2.12566642901,0.327495113711,0.313715886511,0.229235684234,0,45959,0,,0.00000000000
6,8,batch-2,2604,7621035596289092341,rkl-splitmix64-seed-v1,preset-02-revolute,2-Link Revolute Example,2,REVOLUTE;REVOLUTE,0.00000000000;0.00000000000,0.120000000000;0.00000000000,0.428400000000;0.346800000000,0.00000000000;0.00000000000,-3.14159265359;-2.12581102893,3.14159265359;2.12581102893,0.00000000000;0.00000000000,800,0.000100000000000,0.0100000000000,0.0200000000000,1.00000000000e-12,0.00100000000000,0.0100000000000,0.0100000000000,0.0500000000000,0.100000000000,0.500000000000,1.00000000000,12.0000000000,8,GUARANTEED_UNREACHABLE,OUTSIDE_CONSERVATIVE_REACH_BOUND_NEAR,,-1.06191954967;-0.438788699125,0.342125252670,0.247556776953,-0.744843513171,1.46605827273;-2.00670798581,false,REJECTED,NO_CONVERGENCE,STAGNATION_WINDOW_EXCEEDED,false,0.864843513171,72,1.30236629262,0.437522779449,0.335944489602,IMPROVED_BUT_NOT_ENOUGH,EXTREME,0.0900000000000,2.97473406545,2.52797782241,0.330990254504,14.6320017075,1.16530374315,0.385925742138,0.0280135537691,0,60166,1,J2,0.500000000000
6,9,batch-2,2604,7621035596289092341,rkl-splitmix64-seed-v1,preset-02-revolute,2-Link Revolute Example,2,REVOLUTE;REVOLUTE,0.00000000000;0.00000000000,0.120000000000;0.00000000000,0.428400000000;0.346800000000,0.00000000000;0.00000000000,-3.14159265359;-2.12581102893,3.14159265359;2.12581102893,0.00000000000;0.00000000000,800,0.000100000000000,0.0100000000000,0.0200000000000,1.00000000000e-12,0.00100000000000,0.0100000000000,0.0100000000000,0.0500000000000,0.100000000000,0.500000000000,1.00000000000,12.0000000000,9,FK_PROVEN_REACHABLE,UNIFORM_JOINT_SPACE_FK,-1.50605652616;-0.863080140260,0.802256457708;1.68795503865,-0.220662585286,-0.669532992176,0.120000000000,3.14159265359;1.70687885168,false,REJECTED,NO_CONVERGENCE,STAGNATION_WINDOW_EXCEEDED,false,0.363397088780,132,1.21231193096,0.848914842179,0.700244566188,IMPROVED_BUT_NOT_ENOUGH,EXTREME,0.165000000000,2.33941273572,2.33933619588,0.102985633323,2.90183104489,0.462672122641,0.263286630255,0.00000000000,0,97875,1,J1,0.500000000000
