seed,profile,feature_count,parameter_count,best_epoch,accuracy,balanced_accuracy,macro_f1,log_loss,accepted_recall,uncertain_recall,rejected_recall,inference_ns_per_sample,fit_ms
2604,context_frozen_130,130,4291,36,0.905500000000,0.911286709130,0.895340264486,0.205727366992,0.882774340606,0.989359566352,0.861726220433,2611.541687500000,8782
2604,expanded_full_383,383,12387,24,0.918625000000,0.923273993637,0.909861925157,0.183790058650,0.903940084663,0.980124472997,0.885757423251,8237.088562500000,21009
2604,without_seed_task_geometry,361,11683,34,0.916312500000,0.922038794143,0.907345860908,0.197641426905,0.901335070010,0.986950411564,0.877830900856,7601.210937500000,24140
2604,without_jacobian_spectrum,366,11843,35,0.916812500000,0.922823622503,0.908091122620,0.190289321197,0.909150113969,0.977715318209,0.881605435330,7878.770812500000,24409
2604,without_directional_dls,361,11683,25,0.920250000000,0.925438360331,0.911790074605,0.185709587957,0.909801367633,0.979120658502,0.887393054857,7525.622437500000,20003
2604,without_limit_pressure,365,11811,34,0.919625000000,0.925110819547,0.910820014710,0.186580714443,0.904265711495,0.988958040554,0.882108706593,7795.625000000000,24785
2604,without_chain_geometry,359,11619,24,0.917125000000,0.925164570492,0.908971372056,0.188493649088,0.920547053077,0.976109215017,0.878837443382,7413.888000000000,19493
2604,without_per_joint_transforms,233,7587,13,0.911187500000,0.923578493242,0.902658050447,0.197750695120,0.922500814067,0.992170246938,0.856064418722,4407.148437500000,7866
2605,context_frozen_130,130,4291,20,0.898000000000,0.910681536755,0.901154929605,0.224890618283,0.890609555189,0.981636060100,0.859798994975,2360.420166666667,6253
2605,expanded_full_383,383,12387,35,0.911750000000,0.921670235851,0.913839744609,0.195824749742,0.902800658979,0.980300500835,0.881909547739,8316.430583333333,27351
2605,without_seed_task_geometry,361,11683,35,0.910583333333,0.921439045984,0.912388446531,0.210680599454,0.891268533773,0.994991652755,0.878056951424,7431.625000000000,25490
2605,without_jacobian_spectrum,366,11843,27,0.903166666667,0.904440040879,0.903127689514,0.215846934400,0.840197693575,0.972954924875,0.900167504188,7603.007000000000,22485
2605,without_directional_dls,361,11683,13,0.908583333333,0.919567863186,0.910307198593,0.212543720299,0.885996705107,0.996994991653,0.875711892797,7445.236166666667,13275
2605,without_limit_pressure,365,11811,27,0.912333333333,0.924564197594,0.914449023241,0.202365352723,0.901153212521,0.996994991653,0.875544388610,7673.840250000000,22562
2605,without_chain_geometry,359,11619,26,0.909833333333,0.919535596203,0.911385659751,0.206375248391,0.882042833608,0.995659432387,0.880904522613,7551.704833333333,21366
2605,without_per_joint_transforms,233,7587,27,0.912166666667,0.924207211166,0.914430807197,0.197422623455,0.906425041186,0.990317195326,0.875879396985,4436.871583333334,14005
2606,context_frozen_130,130,4291,13,0.890250000000,0.917192435499,0.909757346840,0.235321785328,0.910357815443,0.999231360492,0.841988130564,2262.609375000000,5003
2606,expanded_full_383,383,12387,22,0.918125000000,0.937988444001,0.932859329277,0.184897358121,0.931450094162,0.999231360492,0.883283877349,8162.359375000000,21629
2606,without_seed_task_geometry,361,11683,36,0.910500000000,0.934685324455,0.927191924433,0.202669663994,0.946516007533,0.999231360492,0.858308605341,7840.458375000000,27391
2606,without_jacobian_spectrum,366,11843,27,0.913250000000,0.936238678737,0.929265086609,0.192979756147,0.945762711864,0.998462720984,0.864490603363,7822.854125000000,23844
2606,without_directional_dls,361,11683,18,0.908000000000,0.933252404839,0.924638066456,0.202460535336,0.948399246704,0.999231360492,0.852126607319,7531.307375000000,17478
2606,without_limit_pressure,365,11811,18,0.917875000000,0.938773584730,0.932710921244,0.186348254342,0.938229755179,1.000000000000,0.878090999011,7905.599000000000,17885
2606,without_chain_geometry,359,11619,16,0.909500000000,0.934624444351,0.926298636890,0.209203065462,0.957815442561,0.996156802460,0.849901088032,8637.156250000000,16273
2606,without_per_joint_transforms,233,7587,10,0.907375000000,0.930985998212,0.924468597729,0.195417912932,0.932203389831,0.999231360492,0.861523244313,5515.812500000000,7469
