family,trial,state,macro_f1_mean,macro_f1_std,log_loss_mean,duration_seconds,params_json
xgboost,0,COMPLETE,0.9071207877756083,0.010229472732991416,0.22291586049641066,17.749698,"{""colsample"": 0.8828537035272951, ""estimators"": 450, ""learning_rate"": 0.11515093965019742, ""max_depth"": 7, ""min_child_weight"": 6.102254331545151, ""reg_alpha"": 0.0028183960462276622, ""reg_lambda"": 0.7210975154069807, ""subsample"": 0.900726734995888}"
xgboost,1,COMPLETE,0.8939909757568528,0.013981340625124855,0.22723074063135315,14.719794,"{""colsample"": 0.6457751638041421, ""estimators"": 400, ""learning_rate"": 0.02416505310739534, ""max_depth"": 7, ""min_child_weight"": 6.2911590852677035, ""reg_alpha"": 0.0029906149619552806, ""reg_lambda"": 0.004138950607697242, ""subsample"": 0.8063287895615039}"
xgboost,2,COMPLETE,0.8900731246353611,0.01643278172122572,0.238228755343144,15.37695,"{""colsample"": 0.6160409336739885, ""estimators"": 450, ""learning_rate"": 0.017257098947721046, ""max_depth"": 6, ""min_child_weight"": 2.1548689940300947, ""reg_alpha"": 0.0001046053692565794, ""reg_lambda"": 1.9292877925869, ""subsample"": 0.6873373172334224}"
xgboost,3,COMPLETE,0.9083911115416171,0.011965142757033267,0.20863484023570822,18.88934,"{""colsample"": 0.9505621211318179, ""estimators"": 400, ""learning_rate"": 0.027949221703338464, ""max_depth"": 8, ""min_child_weight"": 6.433680691895408, ""reg_alpha"": 1.9172280222597253, ""reg_lambda"": 0.059642197972341396, ""subsample"": 0.9567237916635862}"
xgboost,4,COMPLETE,0.9007994287124607,0.015575258308577962,0.23792302325140183,53.308442,"{""colsample"": 0.5828450241507778, ""estimators"": 900, ""learning_rate"": 0.04070296204415808, ""max_depth"": 9, ""min_child_weight"": 0.7138067432647371, ""reg_alpha"": 1.73599526361561e-06, ""reg_lambda"": 2.346879549820396, ""subsample"": 0.6809007339773943}"
xgboost,5,COMPLETE,0.9004348009612437,0.012682390435177349,0.2299585341302081,14.745485,"{""colsample"": 0.8375652955647853, ""estimators"": 700, ""learning_rate"": 0.13594731244683994, ""max_depth"": 3, ""min_child_weight"": 2.056427450844386, ""reg_alpha"": 0.06161850923092638, ""reg_lambda"": 0.06340893998674697, ""subsample"": 0.8478339497985689}"
xgboost,6,COMPLETE,0.9098808560642905,0.008735018463971261,0.24696913467822101,34.658269,"{""colsample"": 0.8830680934055912, ""estimators"": 650, ""learning_rate"": 0.10487988634553234, ""max_depth"": 9, ""min_child_weight"": 2.24037397691173, ""reg_alpha"": 0.0003743746956421559, ""reg_lambda"": 1.5396459100893942, ""subsample"": 0.6905904086377643}"
xgboost,7,COMPLETE,0.9020055993234829,0.012424796533933923,0.2206150016863909,32.424269,"{""colsample"": 0.7256985329681978, ""estimators"": 450, ""learning_rate"": 0.018671147245574685, ""max_depth"": 10, ""min_child_weight"": 0.779908216252111, ""reg_alpha"": 3.784170462011031e-07, ""reg_lambda"": 0.0059214958035041015, ""subsample"": 0.9571279123675426}"
xgboost,8,COMPLETE,0.9082924471336548,0.010924384431143727,0.21041522063678295,15.451558,"{""colsample"": 0.8479003727389655, ""estimators"": 500, ""learning_rate"": 0.10939584804984588, ""max_depth"": 5, ""min_child_weight"": 9.294144031778915, ""reg_alpha"": 1.921029179340554, ""reg_lambda"": 6.5052250890863075, ""subsample"": 0.9560701242955499}"
xgboost,9,COMPLETE,0.9029182710987832,0.015263742465467297,0.24661593340140112,34.189458,"{""colsample"": 0.6443457575474713, ""estimators"": 650, ""learning_rate"": 0.13140090024210296, ""max_depth"": 9, ""min_child_weight"": 2.441445841885675, ""reg_alpha"": 0.43545595901452383, ""reg_lambda"": 4.8142683787340905, ""subsample"": 0.6586519805898019}"
