family,fold,accuracy,balanced_accuracy,macro_f1,log_loss,accepted_recall,uncertain_recall,rejected_recall,inference_seconds,inference_microseconds_per_row,fit_seconds,fit_cpu_seconds,peak_rss_delta_megabytes,serialized_bytes,train_rows,test_rows
dummy,0,0.5218518518518519,0.3333333333333333,0.22860387766691004,1.0269328947825935,0.0,0.0,1.0,0.00024470902280882,0.045316485705337035,0.03868654096731916,0.03484800000000021,6.546875,459,10200,5400
dummy,1,0.4872222222222222,0.3333333333333333,0.21840368571784338,1.0491560904004522,0.0,0.0,1.0,0.00018824997823685408,0.0348611070808989,0.003817707998678088,0.010297000000000445,0.015625,459,10200,5400
dummy,2,0.4814583333333333,0.3333333333333333,0.21665963530680166,1.0540267509338368,0.0,0.0,1.0,0.0003558750031515956,0.07414062565658242,0.005059958028141409,0.011332999999999593,4.4375,459,10800,4800
logistic,0,0.8144444444444444,0.84730460437835,0.8258727955487853,0.560849394953444,0.9781227946365562,0.8437768240343347,0.7200141944641589,0.002853417012374848,0.5284105578471942,0.373098916024901,0.35932600000000026,17.609375,6028,10200,5400
logistic,1,0.8062962962962963,0.8079572835519578,0.8071822982979461,0.5135455462536732,0.6847433116413594,0.9386724386724387,0.8004561003420753,0.002006000024266541,0.37148148597528535,0.2753270840039477,0.2681319999999996,0.078125,6028,10200,5400
logistic,2,0.8695833333333334,0.893786397523087,0.8765996350275252,0.26271564781724444,0.9244663382594417,0.973249409913454,0.7836434443963652,0.004239165980834514,0.8831595793405237,0.44308304198784754,0.4190499999999995,0.0,6028,10800,4800
mlp,0,0.82,0.8113720080249297,0.8216372104443458,0.5181956793265802,0.8087508821453776,0.7854077253218884,0.8399574166075231,0.0032330420217476785,0.5987114855088294,1.0120994580211118,0.9414350000000002,1.0,139616,10200,5400
mlp,1,0.8412962962962963,0.8422927803173019,0.8382056152258976,0.5987094839535377,0.7317425885755604,0.9574314574314574,0.8377042949448879,0.002529708028305322,0.46846444968617074,1.2337034580414183,1.1627010000000002,0.078125,139894,10200,5400
mlp,2,0.8808333333333334,0.9029876063455053,0.8861768759340639,0.2700311234013947,0.9326765188834154,0.9740361919748229,0.8022501081782778,0.002575875027105212,0.5366406306469192,1.0223739169887267,0.936966,0.296875,139532,10800,4800
knn,0,0.7538888888888889,0.7938690964779084,0.7647518192674778,1.5680805065462227,0.8708539167254764,0.8592274678111588,0.6515259048970902,0.22492595901712775,41.65295537354218,0.011476791987661272,0.2340750000000007,0.0,5390042,10200,5400
knn,1,0.8035185185185185,0.8219207234584545,0.8023131335322606,0.5229664945639894,0.7469269703543022,0.976911976911977,0.741923223109084,0.25084554200293496,46.45287814869166,0.011406665958929807,0.24977100000000085,0.015625,5390042,10200,5400
knn,2,0.8247916666666667,0.8396866100741579,0.8220271628819794,1.2040241839217631,0.7577996715927751,0.994492525570417,0.7667676330592818,0.25626454199664295,53.388446249300614,0.016244207974523306,0.25110399999999977,16.015625,5706842,10800,4800
rbf_svm,0,0.7588888888888888,0.6940120937921487,0.7277529158426095,0.5525581235225783,0.4262526464361327,0.7090128755364807,0.9467707594038325,1.297036667005159,240.19197537132573,10.485823333030567,11.066982999999999,45.484375,3371557,10200,5400
rbf_svm,1,0.7838888888888889,0.7434883761433303,0.7571405539921875,0.6269255103901056,0.4041937816341287,0.9083694083694084,0.9179019384264538,1.3405377499875613,248.24773147917801,11.55134037497919,12.010289000000004,49.265625,3588857,10200,5400
rbf_svm,2,0.8214583333333333,0.7908467816936708,0.8008594944687295,0.5855295335449295,0.4753694581280788,0.981117230527144,0.9160536564257897,1.3156627909629606,274.09641478395014,14.088569374987856,14.392088000000001,85.3125,3969397,10800,4800
random_forest,0,0.87,0.9049467394393292,0.8769916044729373,0.26464414511521195,0.9315455187014821,0.9965665236051502,0.7867281760113556,0.08932249998906627,16.54120370167894,8.427457667014096,28.009023999999997,18.75,26859092,10200,5400
random_forest,1,0.8759259259259259,0.8775066847041163,0.8762267617578657,0.267464031607824,0.7700650759219089,0.9920634920634921,0.8703914861269479,0.10006891697412357,18.531280921133995,8.870790374989156,28.900218999999993,8.703125,28581780,10200,5400
random_forest,2,0.8941666666666667,0.9111340854729582,0.8978031707004792,0.2110993565012815,0.9055829228243021,0.995279307631786,0.8325400259627866,0.08654520899290219,18.03025187352129,8.87796058296226,29.336616000000006,6.125,30635172,10800,4800
extra_trees,0,0.8731481481481481,0.9077352464325626,0.8800638759746566,0.27406929490417486,0.9463655610444601,0.9879828326180258,0.7888573456352023,0.08371320902369916,15.502446115499845,4.013697874965146,13.475592000000006,48.890625,61937613,10200,5400
extra_trees,1,0.8759259259259259,0.8864236997070037,0.8787422162243265,0.24128407947224567,0.8257411424439624,0.9927849927849928,0.8407449638920562,0.09954591700807214,18.434429075568914,4.080764207988977,14.067454999999995,0.578125,65952349,10200,5400
extra_trees,2,0.8885416666666667,0.9142177445931718,0.8940288905639813,0.21454810322244783,0.9490968801313628,0.996066089693155,0.7974902639549979,0.07943562499713153,16.549088541069068,4.445745875011198,14.72623299999998,3.140625,70827949,10800,4800
hist_gradient_boosting,0,0.8742592592592593,0.8947591690731049,0.8777762124748386,0.2772014825902286,0.9336626676076217,0.9287553648068669,0.8218594748048261,0.05906325002433732,10.9376388933958,13.454082750016823,9.24825100000001,19.3125,701124,10200,5400
hist_gradient_boosting,1,0.8857407407407407,0.8962253499239923,0.88811447834575,0.25085401874873403,0.8452639190166306,0.9927849927849928,0.8506271379703535,0.06132800003979355,11.357037044406214,15.239397583005484,13.179575999999997,18.125,960148,10200,5400
hist_gradient_boosting,2,0.8979166666666667,0.9178380476185346,0.9019975766644618,0.21706623877484466,0.9293924466338259,0.997639653815893,0.8264820424058849,0.04102225002134219,8.546302087779623,2.785668500000611,7.801729999999992,44.0625,803207,10800,4800
xgboost,0,0.8968518518518519,0.9103400275467758,0.9007771920956907,0.24514634159146387,0.9223712067748765,0.944206008583691,0.8644428672817601,0.06555637496057898,12.140069437144255,2.9559619579813443,6.392570000000006,41.0625,3608218,10200,5400
xgboost,1,0.8977777777777778,0.9035479626109781,0.8993306142797391,0.22970332924227696,0.8423716558206796,0.98989898989899,0.878373242113265,0.0678137909853831,12.55810944173761,2.8451352500123903,6.126267999999982,19.109375,3800389,10200,5400
xgboost,2,0.9035416666666667,0.9206131987672009,0.9069868758946561,0.21776041241441746,0.9252873563218391,0.994492525570417,0.8420597144093466,0.06103062495822087,12.714713532962682,2.88885799999116,6.247575000000012,18.40625,3874295,10800,4800
lightgbm,0,0.8974074074074074,0.9137668183847336,0.9016141235340921,0.2775644839604681,0.92166549047283,0.9605150214592275,0.8591199432221434,0.1625385829829611,30.09973758943724,6.829945041972678,11.902899999999988,15.84375,8057122,10200,5400
lightgbm,1,0.8933333333333333,0.8975353031245111,0.8945576290418696,0.27662788091581686,0.824295010845987,0.9891774891774892,0.879133409350057,0.1728656250052154,32.01215277874359,6.556629292026628,11.760505999999992,0.0,8728345,10200,5400
lightgbm,2,0.9058333333333334,0.9222721884903103,0.909047984822941,0.24700638306447634,0.9220032840722496,0.998426435877262,0.8463868455214193,0.15173916600178927,31.612326250372764,6.869715167034883,11.992118000000005,14.703125,8859815,10800,4800
catboost,0,0.8766666666666667,0.8937428415384644,0.8789666057745648,0.26719229990011895,0.9597741707833451,0.8935622317596567,0.8278921220723917,0.00479300000006333,0.8875925926043203,5.9497531250235625,21.898371999999995,65.796875,1900486,10200,5400
