family,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,balanced_accuracy_std,log_loss_mean,log_loss_std,accepted_recall_mean,accepted_recall_std,uncertain_recall_mean,uncertain_recall_std,rejected_recall_mean,rejected_recall_std,fit_seconds_mean,fit_seconds_std,inference_microseconds_per_row_mean,inference_microseconds_per_row_std,peak_rss_delta_megabytes_mean,peak_rss_delta_megabytes_std,serialized_bytes_mean,serialized_bytes_std,runs,mobile_scalable
xgboost,0.9023648940900286,0.004067577128479697,0.9115003963083183,0.008591589667458882,0.23087002774938611,0.013730191851442516,0.8966767396391319,0.0470521793166044,0.976199174684366,0.027801927097778734,0.8616252746014572,0.01831999440392612,2.896651735994965,0.05582290336843568,12.470964137281515,0.29706848920964873,26.192708333333332,12.882415315031508,3760967.3333333335,137349.16575768974,3,True
lightgbm,0.9017399124663009,0.007245996812523927,0.9111914366665185,0.0125679281365729,0.2670662493135871,0.017378664556431615,0.8893212617970221,0.05631463851157359,0.9827063155046596,0.01976678786049798,0.8615467326978732,0.016507614637354364,6.75209650034473,0.17044350341864023,31.241405539517867,1.0087217626175413,10.182291666666666,8.83654649942263,8548427.333333334,430530.82136629114,3,True
catboost,0.891371505509284,0.012820390260819893,0.9047986651910499,0.015780371500521508,0.23593641299853071,0.03329671547858636,0.917595596865591,0.0647075871644628,0.9621157415148831,0.05947858317998254,0.834684657192676,0.020260491671905453,5.71238940267358,0.20620126706771363,0.6761982140345442,0.18645852765766693,49.505208333333336,18.6337957244078,1904070.0,3600.1066650864664,3,True
hist_gradient_boosting,0.8892960891616833,0.012153837825635087,0.902940855538544,0.012922158119794837,0.2483739133712691,0.03014423791036051,0.9027730110860261,0.049850079736906326,0.9730600038025843,0.03844564618831191,0.8329895517270215,0.015448474655279732,10.49304961100764,6.734213388061986,10.280326008527211,1.516279301633235,27.166666666666668,14.64426259950747,821493.0,130476.59365188838,3,True
extra_trees,0.8842783275876548,0.008470053417210088,0.902792230244246,0.014541399161086651,0.24330049253295613,0.029811784683691375,0.9070678612065951,0.07044424330284833,0.9922779716987246,0.004065410683079537,0.8090308578274188,0.027802341848994844,4.180069319321774,0.2325134349635794,16.828654577379275,1.4858495536316911,17.536458333333332,27.18371621179366,66239303.666666664,4452109.138797626,3,True
random_forest,0.8836738456437607,0.012242328863966546,0.8978625032054679,0.017898053605907596,0.24773584440810584,0.03175944150277154,0.8690645058158978,0.08671320219938566,0.9946364411001428,0.002319327768863676,0.8298865627003634,0.04189472538802728,8.725402874988504,0.25805302398301644,17.700912165444745,1.0351088432312092,11.192708333333334,6.670545339791068,28692014.666666668,1890452.0102084933,3,True
mlp,0.8486732338681025,0.03351895561335635,0.8522174648959123,0.046607177418268385,0.46231209556050423,0.1713172419072761,0.8243899965347845,0.10137577378942268,0.9056251249093896,0.10444183393161768,0.8266372732435628,0.021149929178315378,1.0893922776837524,0.12508268748686374,0.5346055219473064,0.06514736246166578,0.4583333333333333,0.481679326895325,139680.66666666666,189.46591602009406,3,True
logistic,0.836551576291419,0.03591961759636197,0.8496827618177982,0.04296394914195355,0.44570352967478727,0.16022745459341614,0.8624441481791191,0.15621441773217346,0.9185662242067424,0.0670371726630972,0.7680379130675331,0.04243082030033425,0.36383634733889875,0.0842606773279872,0.5943505410543345,0.26213484859226527,5.895833333333333,10.14429986058468,6028.0,0.0,3,True
knn,0.7963640385605726,0.02909742333569125,0.8184921433368402,0.023100378985492286,1.098357061677325,0.5305091705644358,0.7918601862241846,0.06862624135080048,0.943543990097851,0.07354743959292283,0.7200722536884853,0.06064868198004857,0.013042555307038128,0.002772934234234131,47.16475992384482,5.900043921031333,5.34375,9.242118158023896,5495642.0,182904.56527927343,3,False
rbf_svm,0.7619176547678421,0.03678666169238298,0.7427824172097166,0.04842120381360074,0.5883377224858711,0.03726313863890344,0.4352719620661134,0.03643494575154147,0.866166504811011,0.14087586309510497,0.9269087847520253,0.01722578196745409,12.04191102766587,1.8507942712975434,254.1787072114846,17.713274903980555,60.020833333333336,21.984671136361317,3643270.3333333335,302611.5902164577,3,False
dummy,0.2212223995638517,0.006451751095517486,0.3333333333333333,0.0,1.0433719120389608,0.014443399868944443,0.0,0.0,0.0,0.0,1.0,0.0,0.015854735664712887,0.019782676672180016,0.051439406147606115,0.020343002751342636,3.6666666666666665,3.3331583612931346,459.0,0.0,3,False
