model,stage,stage_label,feature_count,macro_f1_mean,macro_f1_std,macro_f1_ci95_half_width,balanced_accuracy_mean,reachable_macro_f1_mean,reachable_macro_f1_ci95_half_width,reachable_test_rows_mean,log_loss_mean,fit_seconds_mean,inference_seconds_mean
Logistic regression,baseline,Baseline,108,0.23855047617317326,0.07404668710693882,0.0418958572391153,0.34360509414071644,0.224195558502886,0.07950669052485497,1141.0,1.3888204580215253,0.02423841674559905,0.00046577082927494
Logistic regression,context_10,+10 difficulty/reach,118,0.2643913544134759,0.17192365292503894,0.09727496395040833,0.3771914651544494,0.23452279683340327,0.0799638693812271,1141.0,2.9562077403575664,0.06981644092108279,0.0005099026602692902
Logistic regression,context_20,+20 geometry/state,128,0.22843870390941104,0.21262234592542884,0.12030241728266056,0.3183833586762933,0.1845372529785697,0.09098895749871012,1141.0,2.147529035828103,0.09584853483344584,0.0005060555704403669
Logistic regression,context_22,+22 full context,130,0.327089825050031,0.15929878806176867,0.09013177420566242,0.4471339638404021,0.20387412032028088,0.11636638300468798,1141.0,2.0917509002451977,0.09600808657705784,0.0005270035811311876
MLP-24,baseline,Baseline,108,0.32371357957301433,0.10440673722389804,0.059073672684599496,0.38844014122147574,0.2287391983463076,0.0912071689179746,1141.0,3.1215754342050075,0.3840164792442617,0.0006299305678112432
MLP-24,context_10,+10 difficulty/reach,118,0.4865454110916925,0.1381967370938605,0.07819216489502293,0.5248456680353588,0.3556654523109042,0.05739461439977621,1141.0,1.2615015011024981,0.6056693509211376,0.0006255244079511613
MLP-24,context_20,+20 geometry/state,128,0.3956439829519813,0.1459808421656792,0.08259643695046548,0.44407209032063916,0.29584649751369607,0.10303364066443052,1141.0,2.3464404165924173,0.45109589924201526,0.000685944415939351
MLP-24,context_22,+22 full context,130,0.4589675340484749,0.11273002115448975,0.06378301389811093,0.5296150014435731,0.3362035747959593,0.08447569939509018,1141.0,1.0810467786629296,0.48084761458449066,0.0006694305872467036
