seed,model,stage,stage_label,feature_count,train_rows,validation_rows,test_rows,held_out_robot,accuracy,balanced_accuracy,macro_f1,reachable_macro_f1,reachable_test_rows,log_loss,fit_seconds,inference_seconds
101,Logistic regression,baseline,Baseline,108,2534,466,1000,preset-02-revolute,0.151,0.4269449715370019,0.14416053364205186,0.022904433497536944,649,1.731094853051887,0.019838457985315472,0.00044070795411244035
101,MLP-24,baseline,Baseline,108,2534,466,1000,preset-02-revolute,0.513,0.5522624606923529,0.36012740781442193,0.30143561518214246,649,0.9828623359616304,0.18946683401009068,0.0004095000331290066
101,Logistic regression,context_10,+10 difficulty/reach,118,2534,466,1000,preset-02-revolute,0.003,0.3333333333333333,0.0019940179461615157,0.003067484662576687,649,2.957400348094611,0.043768915988039225,0.00043145898962393403
101,MLP-24,context_10,+10 difficulty/reach,118,2534,466,1000,preset-02-revolute,0.644,0.4426998802266274,0.42169548456047945,0.2819571865443425,649,1.1705980150629243,0.2204716249834746,0.0004327910137362778
101,Logistic regression,context_20,+20 geometry/state,128,2534,466,1000,preset-02-revolute,0.003,0.3333333333333333,0.0019940179461615157,0.003067484662576687,649,2.882908553341751,0.05290404096012935,0.00034550001146271825
101,MLP-24,context_20,+20 geometry/state,128,2534,466,1000,preset-02-revolute,0.641,0.5446072824004916,0.47948860853889835,0.2799302157794664,649,1.3402984437553473,0.3151249579968862,0.0005076669622212648
101,Logistic regression,context_22,+22 full context,130,2534,466,1000,preset-02-revolute,0.188,0.45096155140161764,0.18121622525445757,0.014263191177871911,649,2.6863043343803876,0.05237662501167506,0.000336957979016006
101,MLP-24,context_22,+22 full context,130,2534,466,1000,preset-02-revolute,0.533,0.36106154198123996,0.4278243029630377,0.2444183313748531,649,1.598053840341056,0.28585920797195286,0.0004446659586392343
102,Logistic regression,baseline,Baseline,108,2554,446,1000,preset-03-revolute,0.486,0.3898525352551366,0.3326883217422834,0.3508913308913309,656,1.1749935056251433,0.01992900000186637,0.0002930419868789613
102,MLP-24,baseline,Baseline,108,2554,446,1000,preset-03-revolute,0.705,0.41554340704780524,0.4095870113493065,0.3611492713636486,656,0.9677797879215679,0.20413458399707451,0.00039479200495406985
102,Logistic regression,context_10,+10 difficulty/reach,118,2554,446,1000,preset-03-revolute,0.662,0.5045198893029883,0.4490395702163104,0.32921720198366006,656,1.14499768776299,0.03414083301322535,0.00041562499245628715
102,MLP-24,context_10,+10 difficulty/reach,118,2554,446,1000,preset-03-revolute,0.781,0.5151295462926168,0.5083663737057335,0.46253984475752485,656,0.849644762993703,0.3970861249836162,0.00041375000728294253
102,Logistic regression,context_20,+20 geometry/state,128,2554,446,1000,preset-03-revolute,0.657,0.5033295026152707,0.4463736846502268,0.32799062554356284,656,1.2101983674174757,0.047024582978338,0.0003554580034688115
102,MLP-24,context_20,+20 geometry/state,128,2554,446,1000,preset-03-revolute,0.76,0.5367122414712822,0.5056860173662544,0.46383950881702,656,0.855503703925455,0.19503445801092312,0.0004033750155940652
102,Logistic regression,context_22,+22 full context,130,2554,446,1000,preset-03-revolute,0.705,0.5316732361691386,0.4769996763199482,0.38560050511883825,656,1.1561373636825634,0.05206499999621883,0.00036391697358340025
102,MLP-24,context_22,+22 full context,130,2554,446,1000,preset-03-revolute,0.732,0.5419946942764776,0.4925704127548469,0.42661266126612657,656,1.1181936075714154,0.30988908401923254,0.00044033402809873223
103,Logistic regression,baseline,Baseline,108,2539,461,1000,preset-04-prismatic,0.654,0.3333333333333333,0.2636033857315599,0.3333333333333333,654,1.1844557760420689,0.0071222499827854335,0.00033258297480642796
103,MLP-24,baseline,Baseline,108,2539,461,1000,preset-04-prismatic,0.346,0.3333333333333333,0.17137196631996035,0.0,654,8.834149572480888,0.1916424579685554,0.00039250002009794116
103,Logistic regression,context_10,+10 difficulty/reach,118,2539,461,1000,preset-04-prismatic,0.654,0.3333333333333333,0.2636033857315599,0.3333333333333333,654,4.672890578047735,0.020920875016599894,0.00033941701985895634
103,MLP-24,context_10,+10 difficulty/reach,118,2539,461,1000,preset-04-prismatic,0.998,0.6647398843930635,0.6651915772393702,0.3333333333333333,654,0.00960684052848685,0.23139195801923051,0.0004060409846715629
103,Logistic regression,context_20,+20 geometry/state,128,2539,461,1000,preset-04-prismatic,0.087,0.0770094217885489,0.12642002140081057,0.014947683109118086,654,2.426019813434545,0.043846082990057766,0.00034087500534951687
103,MLP-24,context_20,+20 geometry/state,128,2539,461,1000,preset-04-prismatic,0.962,0.6300578034682082,0.6378880755150232,0.3333333333333333,654,0.10499910156547371,0.2009454169892706,0.0004266250180080533
103,Logistic regression,context_22,+22 full context,130,2539,461,1000,preset-04-prismatic,0.346,0.3333333333333333,0.17137196631996035,0.0,654,4.327382984671814,0.04529608302982524,0.00033650000113993883
103,MLP-24,context_22,+22 full context,130,2539,461,1000,preset-04-prismatic,0.346,0.3333333333333333,0.23323222109875297,0.0,654,12.51474456773267,0.6771804169984534,0.00043804204324260354
104,Logistic regression,baseline,Baseline,108,2538,462,1000,preset-04-revolute,0.44,0.21728395061728398,0.21792966815255077,0.19352088661551578,649,1.4017986780126317,0.017025874985847622,0.00029862497467547655
104,MLP-24,baseline,Baseline,108,2538,462,1000,preset-04-revolute,0.45,0.2248812915479582,0.24465489010642985,0.17094430602256142,649,3.645289681318951,0.4396422089776024,0.0004200420225970447
104,Logistic regression,context_10,+10 difficulty/reach,118,2538,462,1000,preset-04-revolute,0.645,0.38978157644824313,0.40367506653108753,0.3206774638114565,649,0.7688878535165482,0.06350683298660442,0.00032645801547914743
104,MLP-24,context_10,+10 difficulty/reach,118,2538,462,1000,preset-04-revolute,0.545,0.274985754985755,0.2863802673353717,0.21873555823373234,649,2.0131780456042585,0.2768277499708347,0.000445915968157351
104,Logistic regression,context_20,+20 geometry/state,128,2538,462,1000,preset-04-revolute,0.654,0.3772079772079772,0.39661722553346374,0.3270826339264304,649,0.7777768826203191,0.040941041021142155,0.0003225419786758721
104,MLP-24,context_20,+20 geometry/state,128,2538,462,1000,preset-04-revolute,0.658,0.32972459639126306,0.2828722341390208,0.2314453258583263,649,2.068976621271851,0.21164079202571884,0.0003957499866373837
104,Logistic regression,context_22,+22 full context,130,2538,462,1000,preset-04-revolute,0.735,0.4618803418803419,0.4654065662029702,0.3991477158688947,649,0.5932556596689872,0.04219479201128706,0.0003410410135984421
104,MLP-24,context_22,+22 full context,130,2538,462,1000,preset-04-revolute,0.682,0.3421082621082621,0.28927861918697795,0.24264053254437867,649,1.315152415633309,0.28943166602402925,0.0004159160307608545
105,Logistic regression,baseline,Baseline,108,2565,435,1000,preset-02-revolute,0.117,0.4054395951929159,0.12063231455754819,0.0030721966205837174,649,1.8443610099290806,0.019077082979492843,0.0002740829950198531
105,MLP-24,baseline,Baseline,108,2565,435,1000,preset-02-revolute,0.429,0.4992082396902939,0.34591835099385276,0.28429592273071913,649,1.139046480128761,0.26612608297728,0.0004041249630972743
105,Logistic regression,context_10,+10 difficulty/reach,118,2565,435,1000,preset-02-revolute,0.003,0.3333333333333333,0.0019940179461615157,0.003067484662576687,649,3.252632055229364,0.0482607499579899,0.0003006249899044633
