model,stage,stage_label,feature_count,macro_f1_mean,macro_f1_std,macro_f1_ci95_half_width,balanced_accuracy_mean,reachable_macro_f1_mean,reachable_macro_f1_ci95_half_width,reachable_test_rows_mean,log_loss_mean,fit_seconds_mean,inference_seconds_mean
Logistic regression,baseline,Baseline,108,0.2381531649672224,0.0764816741430603,0.04327358085147772,0.3403892912317061,0.22578638638884815,0.07908436067691364,652.0,1.3909600920991119,0.019451295069302432,0.00033646190907650936
Logistic regression,context_10,+10 difficulty/reach,118,0.27061080202822546,0.17617591216106257,0.099680906104699,0.38393827200612823,0.2416450060762598,0.08184291882279425,652.0,2.515911585333865,0.040231156162917614,0.00034064941670900833
Logistic regression,context_20,+20 geometry/state,128,0.23237975453851378,0.20345354405137828,0.1151146792571337,0.3172769370749204,0.16818453558339155,0.09685532883157998,652.0,1.9523555466410853,0.04820586090014937,0.0003432049124967307
Logistic regression,context_22,+22 full context,130,0.32448285171177366,0.1538266627121574,0.08703562782289773,0.4452442398076288,0.20069762117627932,0.11379495897455533,652.0,2.299561010840955,0.04567452417783594,0.00033903474589654553
MLP-24,baseline,Baseline,108,0.3276422074009125,0.1064076945263171,0.06020582085704432,0.40210746383896967,0.23428437993797935,0.09227875919706187,652.0,2.8863335913312493,0.26301672582728014,0.0004359688367306565
MLP-24,context_10,+10 difficulty/reach,118,0.483126436019385,0.13527868512168845,0.07654112156521295,0.5025148157532747,0.3447685557514639,0.05564576422719522,652.0,1.0998195443686318,0.332515256741317,0.0004307602406091367
MLP-24,context_20,+20 geometry/state,128,0.40440060040686426,0.16174564805559175,0.09151621557624344,0.4659728931687477,0.29797823002526996,0.10065672008313348,652.0,2.290569491852714,0.285280451416232,0.0004538228289068987
MLP-24,context_22,+22 full context,130,0.4285985212866205,0.11595473613735201,0.06560756816025796,0.47904064029563864,0.3064117341349855,0.07859885622353395,652.0,2.064945838695285,0.30269256933631067,0.0004374443330258752
