seed,model,stage,stage_label,feature_count,train_rows,validation_rows,test_rows,held_out_robot,accuracy,balanced_accuracy,macro_f1,reachable_macro_f1,reachable_test_rows,log_loss,fit_seconds,inference_seconds
101,Logistic regression,baseline,Baseline,108,5104,896,2000,preset-02-revolute,0.139,0.41863393138180677,0.13664428405950524,0.01910975085910653,1301,1.7885236194891652,0.02381804201286286,0.0006588330143131316
101,MLP-24,baseline,Baseline,108,5104,896,2000,preset-02-revolute,0.6645,0.5378660845536994,0.48173368608619355,0.43860371229865597,1301,0.7801838367687794,0.48523937503341585,0.0008011250174604356
101,Logistic regression,context_10,+10 difficulty/reach,118,5104,896,2000,preset-02-revolute,0.0035,0.3333333333333333,0.002325195150307258,0.003567787971457696,1301,3.722388118746213,0.12995929195312783,0.0005437500076368451
101,MLP-24,context_10,+10 difficulty/reach,118,5104,896,2000,preset-02-revolute,0.661,0.5018386492930172,0.44266539701710217,0.33570496665188415,1301,0.973631546328801,0.3543855829630047,0.0007136659696698189
101,Logistic regression,context_20,+20 geometry/state,128,5104,896,2000,preset-02-revolute,0.0035,0.3333333333333333,0.002325195150307258,0.003567787971457696,1301,3.669712257562089,0.1306957920314744,0.00059104198589921
101,MLP-24,context_20,+20 geometry/state,128,5104,896,2000,preset-02-revolute,0.744,0.6443588356315607,0.5412933297314626,0.36413264222486075,1301,0.7367414034028296,0.620216416020412,0.0007780840387567878
101,Logistic regression,context_22,+22 full context,130,5104,896,2000,preset-02-revolute,0.1865,0.4490839876278849,0.17866216824632605,0.012755310748974952,1301,3.0292480025346404,0.13655829103663564,0.0009337500086985528
101,MLP-24,context_22,+22 full context,130,5104,896,2000,preset-02-revolute,0.5795,0.5827984828627834,0.46221036054001613,0.2738286626562036,1301,1.6821968425171134,0.702662791009061,0.0007357080467045307
102,Logistic regression,baseline,Baseline,108,5105,895,2000,preset-03-revolute,0.4675,0.381932666601624,0.319909852493906,0.3341254564609523,1308,1.1405642025802727,0.04118929203832522,0.0006760000251233578
102,MLP-24,baseline,Baseline,108,5105,895,2000,preset-03-revolute,0.73,0.43444035032149336,0.4329968673860076,0.3906459158056203,1308,1.324435729016795,0.8030999999609776,0.0006538750021718442
102,Logistic regression,context_10,+10 difficulty/reach,118,5105,895,2000,preset-03-revolute,0.6525,0.4969155973610504,0.4412104562190204,0.31865674473803146,1308,1.1533329774882524,0.12698283296776935,0.0005720419576391578
102,MLP-24,context_10,+10 difficulty/reach,118,5105,895,2000,preset-03-revolute,0.7635,0.46523626297010584,0.46744199052863405,0.4259364329602042,1308,1.128261610746989,0.7276243339874782,0.0007088330457918346
102,Logistic regression,context_20,+20 geometry/state,128,5105,895,2000,preset-03-revolute,0.6595,0.5038395210722593,0.44649553651421403,0.33239527879438485,1308,1.2042632029746942,0.099603291018866,0.0006820420385338366
102,MLP-24,context_20,+20 geometry/state,128,5105,895,2000,preset-03-revolute,0.8265,0.5568991763194859,0.5446834319858929,0.5154197208549688,1308,1.2509394606800472,1.0004302500165068,0.0008997090044431388
102,Logistic regression,context_22,+22 full context,130,5105,895,2000,preset-03-revolute,0.7315,0.545758172319363,0.4926381247284299,0.40971835808757434,1308,1.0232974445690477,0.17252445901976898,0.000540458015166223
102,MLP-24,context_22,+22 full context,130,5105,895,2000,preset-03-revolute,0.804,0.5435649876307591,0.529088098134631,0.4866414368247704,1308,1.2851831498235482,0.7646083339932375,0.000749250000808388
103,Logistic regression,baseline,Baseline,108,5090,910,2000,preset-04-prismatic,0.653,0.3333333333333333,0.2633595482960274,0.3333333333333333,1306,1.4169463005810627,0.011781291977968067,0.0004409169778227806
103,MLP-24,baseline,Baseline,108,5090,910,2000,preset-04-prismatic,0.347,0.3333333333333333,0.17173966839891117,0.0,1306,12.943815435978747,0.5836875410168432,0.0006579160108231008
103,Logistic regression,context_10,+10 difficulty/reach,118,5090,910,2000,preset-04-prismatic,0.653,0.3333333333333333,0.2633595482960274,0.3333333333333333,1306,5.92873153544562,0.04923029203200713,0.0005091659841127694
103,MLP-24,context_10,+10 difficulty/reach,118,5090,910,2000,preset-04-prismatic,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,1306,7.943263490829538e-05,0.5723494589910842,0.0007085420074872673
103,Logistic regression,context_20,+20 geometry/state,128,5090,910,2000,preset-04-prismatic,0.167,0.0852475752935171,0.09622587150677038,0.13577235772357724,1306,2.2884761052405116,0.10111062502255663,0.0005245839711278677
103,MLP-24,context_20,+20 geometry/state,128,5090,910,2000,preset-04-prismatic,0.7535,0.5408371618172537,0.5017494852819361,0.25578102878716374,1306,0.475413325667638,0.331467000010889,0.0006803749711252749
103,Logistic regression,context_22,+22 full context,130,5090,910,2000,preset-04-prismatic,0.344,0.33045148895292986,0.1706349206349206,0.0,1306,2.720223315405372,0.12824879196705297,0.0005997500265948474
103,MLP-24,context_22,+22 full context,130,5090,910,2000,preset-04-prismatic,0.3995,0.360132720775906,0.24903549288431617,0.04961020552799433,1306,1.4688421426049356,0.32957433303818107,0.0007014999864622951
104,Logistic regression,baseline,Baseline,108,5047,953,2000,preset-04-revolute,0.514,0.2543924771096263,0.2372216453213338,0.2170632617527568,1301,1.377254627574825,0.028363958990667015,0.0006481659947894514
104,MLP-24,baseline,Baseline,108,5047,953,2000,preset-04-revolute,0.641,0.31724820588963126,0.26501291989664083,0.2178932178932179,1301,4.320346669877904,1.1201917920261621,0.0006455000257119536
104,Logistic regression,context_10,+10 difficulty/reach,118,5047,953,2000,preset-04-revolute,0.656,0.35675823574062643,0.3542383953952363,0.29440630269430085,1301,0.8423681646619461,0.08465895801782608,0.0005334159941412508
104,MLP-24,context_10,+10 difficulty/reach,118,5047,953,2000,preset-04-revolute,0.74,0.4241062039061337,0.4430150434891376,0.39934690474536233,1301,1.1234016162013412,0.7318483329727314,0.0008089999901130795
104,Logistic regression,context_20,+20 geometry/state,128,5047,953,2000,preset-04-revolute,0.6755,0.3971804319659175,0.41050678930883305,0.3440474080098994,1301,0.6992772167862162,0.07396162499208003,0.0007129589794203639
104,MLP-24,context_20,+20 geometry/state,128,5047,953,2000,preset-04-revolute,0.663,0.33392262237032133,0.28555912089467567,0.2347964539811163,1301,4.102545638665861,0.5219147079624236,0.0006787920137867332
104,Logistic regression,context_22,+22 full context,130,5047,953,2000,preset-04-revolute,0.7405,0.4748498639329719,0.47289195315133603,0.4016444344494814,1301,0.5314932195264513,0.0875434999470599,0.0005174590041860938
104,MLP-24,context_22,+22 full context,130,5047,953,2000,preset-04-revolute,0.697,0.3707382181036414,0.3517163716711766,0.3026970280431957,1301,2.066272560537605,0.9262537920149043,0.0008130840142257512
105,Logistic regression,baseline,Baseline,108,5077,923,2000,preset-02-revolute,0.1205,0.4069877242681775,0.12328172567022132,0.003567787971457696,1301,1.8525555417320718,0.021460499963723123,0.00048687501111999154
105,MLP-24,baseline,Baseline,108,5077,923,2000,preset-02-revolute,0.3935,0.5316279356837194,0.27054593976353125,0.22024968598020409,1301,1.3601090751444695,0.4608098749886267,0.0006590840057469904
105,Logistic regression,context_10,+10 difficulty/reach,118,5077,923,2000,preset-02-revolute,0.0035,0.3333333333333333,0.002325195150307258,0.003567787971457696,1301,4.1321430604410505,0.10223558300640434,0.0004694999661296606
105,MLP-24,context_10,+10 difficulty/reach,118,5077,923,2000,preset-02-revolute,0.6395,0.6209069700555951,0.4933076006016293,0.4078489850414697,1301,0.997446871526236,0.8647448749979958,0.0006890000076964498
105,Logistic regression,context_20,+20 geometry/state,128,5077,923,2000,preset-02-revolute,0.0035,0.3333333333333333,0.002325195150307258,0.003567787971457696,1301,3.9171591661825476,0.12060379196191207,0.0004915829631499946
105,MLP-24,context_20,+20 geometry/state,128,5077,923,2000,preset-02-revolute,0.776,0.5268875799627812,0.5198985623605038,0.4048356256654282,1301,0.7071059283003495,0.7057128750020638,0.000676833966281265
105,Logistic regression,context_22,+22 full context,130,5077,923,2000,preset-02-revolute,0.178,0.4431853950267548,0.16806084822897246,0.003567787971457696,1301,3.998321668040605,0.0767651250353083,0.0005435420316644013
105,MLP-24,context_22,+22 full context,130,5077,923,2000,preset-02-revolute,0.6115,0.694308174202139,0.4850936604287636,0.39915605931336806,1301,1.0112678340376604,0.5115539580001496,0.0009365829755552113
106,Logistic regression,baseline,Baseline,108,5175,825,2000,preset-03-revolute,0.4645,0.37769776640867897,0.317719468089202,0.3304771508696218,1308,1.1497316401609143,0.0386157920002006,0.00047554197954013944
106,MLP-24,baseline,Baseline,108,5175,825,2000,preset-03-revolute,0.78,0.5253833395480249,0.5101879000489462,0.4816509987040504,1308,1.0098032949443079,0.5465513340313919,0.0006640000501647592
106,Logistic regression,context_10,+10 difficulty/reach,118,5175,825,2000,preset-03-revolute,0.6565,0.497898365068355,0.443495246956,0.32404379978495096,1308,1.1578644281954944,0.11213262501405552,0.000506000011228025
106,MLP-24,context_10,+10 difficulty/reach,118,5175,825,2000,preset-03-revolute,0.8115,0.5497159730046274,0.5345761196058014,0.49399859809128016,1308,0.7743781638821888,0.43292420799843967,0.0006696659838780761
106,Logistic regression,context_20,+20 geometry/state,128,5175,825,2000,preset-03-revolute,0.6615,0.5045015305070074,0.44766276413632805,0.3356152985945952,1308,1.2026525432537973,0.1062024169950746,0.0005105420132167637
106,MLP-24,context_20,+20 geometry/state,128,5175,825,2000,preset-03-revolute,0.821,0.5862178189239362,0.5492464167004191,0.5082242895113475,1308,1.1151433878576504,0.884271125018131,0.000699999975040555
106,Logistic regression,context_22,+22 full context,130,5175,825,2000,preset-03-revolute,0.737,0.5478346366365644,0.49584744786838414,0.4178409287326268,1308,1.1941239040946383,0.09956233302364126,0.0005325840320438147
106,MLP-24,context_22,+22 full context,130,5175,825,2000,preset-03-revolute,0.812,0.5608868253440021,0.5381823297262501,0.4969152770142325,1308,0.7943568410799404,0.4226016669999808,0.0007355409907177091
107,Logistic regression,baseline,Baseline,108,5105,895,2000,preset-04-prismatic,0.653,0.3333333333333333,0.2633595482960274,0.3333333333333333,1306,1.4045302097559278,0.013467125012539327,0.0006669589783996344
107,MLP-24,baseline,Baseline,108,5105,895,2000,preset-04-prismatic,0.319,0.3064361191162344,0.26500519210799584,0.0,1306,5.188637193457887,0.4252914590178989,0.0006757500232197344
107,Logistic regression,context_10,+10 difficulty/reach,118,5105,895,2000,preset-04-prismatic,0.653,0.3333333333333333,0.2633595482960274,0.3333333333333333,1306,6.312207821529611,0.04502454097382724,0.0006227089907042682
107,MLP-24,context_10,+10 difficulty/reach,118,5105,895,2000,preset-04-prismatic,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,1306,0.005138511936237182,0.4296755419927649,0.0007258750265464187
107,Logistic regression,context_20,+20 geometry/state,128,5105,895,2000,preset-04-prismatic,0.065,0.033180193976518634,0.041348600508905854,0.06035283194057567,1306,2.7130983603596954,0.12567199999466538,0.0005100839771330357
107,MLP-24,context_20,+20 geometry/state,128,5105,895,2000,preset-04-prismatic,0.347,0.3333333333333333,0.17173966839891117,0.0,1306,5.073220265080052,0.3032606250490062,0.0007274170056916773
107,Logistic regression,context_22,+22 full context,130,5105,895,2000,preset-04-prismatic,0.336,0.3227665706051873,0.16779026217228465,0.0,1306,2.6139100345646376,0.14344324998091906,0.0005179590079933405
107,MLP-24,context_22,+22 full context,130,5105,895,2000,preset-04-prismatic,0.794,0.5236983522440579,0.5187062223831113,0.29898648648648646,1306,0.5686270173358323,0.4475102500291541,0.0007186249713413417
108,Logistic regression,baseline,Baseline,108,5089,911,2000,preset-04-revolute,0.5155,0.25513486760702797,0.23807874379401917,0.2179561760713593,1301,1.391490215124062,0.02838820801116526,0.00047850003466010094
108,MLP-24,baseline,Baseline,108,5089,911,2000,preset-04-revolute,0.639,0.323622380553386,0.29388446800212153,0.24433286273674115,1301,2.234413628990613,0.9384548749658279,0.0007044579833745956
108,Logistic regression,context_10,+10 difficulty/reach,118,5089,911,2000,preset-04-revolute,0.6755,0.3540482640985034,0.3305994852585051,0.27860331736565974,1301,1.0003527660570979,0.06657179200556129,0.000522333022672683
108,MLP-24,context_10,+10 difficulty/reach,118,5089,911,2000,preset-04-revolute,0.693,0.37717454286518776,0.3670218970051628,0.31405292115151,1301,2.3043966407382923,0.7360015829908662,0.0007093750173225999
108,Logistic regression,context_20,+20 geometry/state,128,5089,911,2000,preset-04-revolute,0.671,0.36970516220986044,0.36907818294915734,0.3110362888140666,1301,0.8068844459990052,0.07925499998964369,0.0004921249928884208
108,MLP-24,context_20,+20 geometry/state,128,5089,911,2000,preset-04-revolute,0.662,0.3747188560743952,0.3925428445301819,0.32981413673455195,1301,3.054989657003415,1.07440691703232,0.0006937090074643493
108,Logistic regression,context_22,+22 full context,130,5089,911,2000,preset-04-revolute,0.7475,0.462008289458775,0.4669051878354204,0.4076067328021719,1301,0.5289575835334526,0.10200712503865361,0.0007229999755509198
108,MLP-24,context_22,+22 full context,130,5089,911,2000,preset-04-revolute,0.6675,0.4213621255030273,0.42872404199095976,0.3464897498211319,1301,1.7077174828171127,0.6444942079833709,0.0007855409639887512
109,Logistic regression,baseline,Baseline,108,5056,944,2000,preset-02-revolute,0.1245,0.4095058231035568,0.12665117774589027,0.003567787971457696,1301,1.8411705806126342,0.020063542004209012,0.00045200000749900937
109,MLP-24,baseline,Baseline,108,5056,944,2000,preset-02-revolute,0.566,0.40989198230282603,0.3457594535423847,0.287874428989576,1301,0.8348497334119419,0.286648791981861,0.0008255839929915965
109,Logistic regression,context_10,+10 difficulty/reach,118,5056,944,2000,preset-02-revolute,0.0035,0.3333333333333333,0.002325195150307258,0.003567787971457696,1301,3.7858716641940884,0.13389804202597588,0.0006737920339219272
109,MLP-24,context_10,+10 difficulty/reach,118,5056,944,2000,preset-02-revolute,0.758,0.5594061226814441,0.5230029343347574,0.44532097824459543,1301,0.6144005749691857,0.6614740410004742,0.0007136249914765358
109,Logistic regression,context_20,+20 geometry/state,128,5056,944,2000,preset-02-revolute,0.0035,0.3333333333333333,0.002325195150307258,0.003567787971457696,1301,3.698626962380008,0.1183283330174163,0.0005343749653548002
109,MLP-24,context_20,+20 geometry/state,128,5056,944,2000,preset-02-revolute,0.7395,0.6278772856257979,0.5112713868750848,0.4435772953739197,1301,0.6365361776129873,0.573429457959719,0.0006819579866714776
109,Logistic regression,context_22,+22 full context,130,5056,944,2000,preset-02-revolute,0.1925,0.4532823917086069,0.18626091532576314,0.019653939095774595,1301,2.876419634816054,0.12767445796635002,0.0005337080219760537
109,MLP-24,context_22,+22 full context,130,5056,944,2000,preset-02-revolute,0.7955,0.5391633117852552,0.5385751914474023,0.3862909018932798,1301,0.5835356762342773,0.48763754195533693,0.0008985419990494847
110,Logistic regression,baseline,Baseline,108,5111,889,2000,preset-03-revolute,0.4835,0.3882524955661852,0.3301782916190234,0.3488954209941864,1308,1.1618239125668461,0.05689862498547882,0.0004713749513030052
110,MLP-24,baseline,Baseline,108,5111,889,2000,preset-03-revolute,0.75,0.49600188178186566,0.48376478756574554,0.4486031422596386,1308,1.4358891419541073,0.7104125000187196,0.0006410000496543944
110,Logistic regression,context_10,+10 difficulty/reach,118,5111,889,2000,preset-03-revolute,0.6475,0.4940661947065084,0.43803707805557696,0.30851722547921745,1308,1.1492342640742905,0.0949214999563992,0.000499500019941479
110,MLP-24,context_10,+10 difficulty/reach,118,5111,889,2000,preset-03-revolute,0.7925,0.514591160169307,0.5117763911730685,0.47078554238003606,1308,0.7526022090254473,0.4318574999924749,0.0006560829933732748
110,Logistic regression,context_20,+20 geometry/state,128,5111,889,2000,preset-03-revolute,0.6585,0.5033378907737892,0.4458096301876336,0.3257601069161376,1308,1.214984749312739,0.1215727919479832,0.0006313330377452075
110,MLP-24,context_20,+20 geometry/state,128,5111,889,2000,preset-03-revolute,0.8125,0.5683039148992663,0.5396935264383755,0.49985655900640874,1308,0.9908560304898449,0.8397679579793476,0.0006684160325676203
110,Logistic regression,context_22,+22 full context,130,5111,889,2000,preset-03-revolute,0.7245,0.5446355183654159,0.48864949319888656,0.39940416295397846,1308,1.2104586449276435,0.11765770800411701,0.0005146670155227184
110,MLP-24,context_22,+22 full context,130,5111,889,2000,preset-03-revolute,0.8025,0.5759139049156651,0.5364847483046596,0.4975022945081215,1308,0.9099292452999299,0.4358955419738777,0.0006878749700263143
111,Logistic regression,baseline,Baseline,108,5078,922,2000,preset-04-prismatic,0.653,0.3333333333333333,0.2633595482960274,0.3333333333333333,1306,1.3417045347324992,0.014363041962496936,0.0005274169961921871
111,MLP-24,baseline,Baseline,108,5078,922,2000,preset-04-prismatic,0.336,0.3227665706051873,0.16766467065868262,0.0,1306,2.9085861283032086,0.4183595000067726,0.0006588749820366502
111,Logistic regression,context_10,+10 difficulty/reach,118,5078,922,2000,preset-04-prismatic,0.653,0.3333333333333333,0.2633595482960274,0.3333333333333333,1306,5.125832088230911,0.037019125011283904,0.00047912501031532884
111,MLP-24,context_10,+10 difficulty/reach,118,5078,922,2000,preset-04-prismatic,0.971,0.6518631955079122,0.6457266248660108,0.32576350822239625,1306,0.09614990897980426,0.4834292089799419,0.0008141659782268107
111,Logistic regression,context_20,+20 geometry/state,128,5078,922,2000,preset-04-prismatic,0.0,0.0,0.0,0.0,1306,3.2602590519604773,0.09012470894958824,0.0005247080116532743
111,MLP-24,context_20,+20 geometry/state,128,5078,922,2000,preset-04-prismatic,0.347,0.3333333333333333,0.17173966839891117,0.0,1306,6.904109907253458,0.4491230830317363,0.000669583969283849
111,Logistic regression,context_22,+22 full context,130,5078,922,2000,preset-04-prismatic,0.347,0.3333333333333333,0.17373889097509077,0.0,1306,5.585937267405379,0.11159174999920651,0.0004920409992337227
111,MLP-24,context_22,+22 full context,130,5078,922,2000,preset-04-prismatic,0.3925,0.35655946911689634,0.22117001902894015,0.04342638988308279,1306,3.054849589395656,0.6599165420047939,0.0007027080282568932
112,Logistic regression,baseline,Baseline,108,5106,894,2000,preset-04-revolute,0.515,0.25488740410789407,0.23588686591091265,0.21327196010740315,1301,1.3693259846113706,0.030898625031113625,0.0004521670052781701
112,MLP-24,baseline,Baseline,108,5106,894,2000,preset-04-revolute,0.6695,0.3313536253402623,0.26774645070985803,0.22038567493112948,1301,6.840559519647914,0.5403005419648252,0.0006560839829035103
112,Logistic regression,context_10,+10 difficulty/reach,118,5106,894,2000,preset-04-revolute,0.6585,0.3511575266231692,0.3405447495300493,0.2834936382642585,1301,0.9323342020626192,0.06450654205400497,0.0005115409730933607
112,MLP-24,context_10,+10 difficulty/reach,118,5106,894,2000,preset-04-revolute,0.617,0.3124709855679136,0.2879548741755275,0.22847201460132516,1301,4.669325537297329,0.7894979580305517,0.0006550410180352628
112,Logistic regression,context_20,+20 geometry/state,128,5106,894,2000,preset-04-revolute,0.6685,0.38082889282253535,0.39129563692219005,0.32824762651301803,1301,0.7851727045876892,0.0933214999968186,0.0005937499809078872
